company_type,demand,avg_salary,city_coverage,company_count,job_richness
type_BLfSmG,21579,15385.385752817647,363,9563,13829
type_lOdYUb,21087,8102.120063035556,365,16883,8306
type_uTAWZv,19677,5885.265904623979,368,16648,14436
type_qrSFSq,18785,9876.56643602357,359,13574,9795
type_CbBLwi,13685,13664.421630565583,296,7446,7695
type_fFlUqG,13392,7322.611789997737,365,10859,7182
type_yZblEo,12864,8440.047839385146,363,9955,4393
type_qGLNuz,12280,7428.9560693641615,367,10360,6847
type_YOHpQY,10930,8264.17772861357,363,9515,3526
type_HfjYoW,10688,7703.343523118074,366,9121,4049
type_qhLBWb,9187,8707.681925542684,367,7601,5224
type_vrMpBQ,8472,8786.217986896963,314,6661,4221
type_lYwbWD,8045,8211.447451227186,365,6704,4049
type_PCcrub,7843,7928.256974660865,362,6646,2953
type_ZcPYrP,7686,10983.92009493671,309,3948,4707
type_qnHODO,7648,6496.921961508041,360,7204,2042
type_HcIRlZ,7339,9051.90410958904,311,5846,3887
type_XqvUzw,7290,5184.725668596637,359,6476,2354
type_BmzsHA,7209,10919.419924337957,274,4689,3682
type_lwxCGv,6558,7747.711159062886,363,5284,4239
type_SNJDAt,6340,9617.091150016062,358,4229,4424
type_pmgfTy,6259,10951.087214085897,318,4445,4000
type_FwqxZf,5740,8612.334918119388,332,4616,2639
type_xjtctu,5601,13948.671674606083,191,3003,2841
type_uipXwT,5593,8484.07783665266,349,4396,3828
type_ruszQK,5330,9431.624739928126,337,3392,2668
type_QbeiZo,5247,10554.142829494871,317,3628,3082
type_jIzdnZ,4960,10808.983236754966,291,3098,3502
type_ZIwauc,4825,13493.292172457095,191,3132,2906
type_FdhMSx,4770,6632.045368421052,312,2742,2741
type_IWPTYt,4692,14366.109289617487,190,2758,2987
type_irYhZM,4595,9885.492346938776,323,2458,3419
type_GXFMik,4454,7760.930809105252,308,3831,2572
type_BPRUkx,4354,13385.979333020197,260,2109,3146
type_aAuygy,4239,8226.074303405572,292,3122,2900
type_MmKysX,3908,9095.989166881609,283,3051,2099
type_plzlSo,3905,10781.654771345493,231,2094,2687
type_fvIHbx,3836,7445.836648103951,279,3030,1643
type_fWnADK,3808,9175.19042437432,283,3029,1728
type_UUMBcC,3654,10371.017089305402,173,2760,1925
type_xfFBgF,3528,7823.450824332007,343,3041,1942
type_cPyqFN,3505,13558.0,253,2105,2492
type_LPhcvI,3330,7361.712135465663,318,2666,1349
type_Hzhxlm,3315,8620.410703173615,315,2827,1880
type_xvJgzl,3260,10849.798199316981,258,1966,2147
type_xkGnwk,3009,9955.91577540107,259,2150,1924
type_MhfbrD,2988,5643.003763256927,333,2696,1198
type_BByMdf,2942,9789.647184604419,179,2211,1282
type_MDYYNy,2931,9663.957968476358,225,2219,1721
type_birMPO,2658,8949.184679560107,323,2126,1610
type_xKVDuy,2648,12294.011411182959,266,1795,1936
type_gtGYMQ,2607,14777.107241788683,162,1760,1819
type_PanQpo,2579,8296.495101880877,273,2168,1837
type_rJQdMX,2334,7880.7958477508655,305,1791,1536
type_NKZQoO,2302,11412.123211091235,216,1726,1559
type_bMfEOy,2244,14393.65909090909,173,1039,1681
type_bMIeXj,2222,10205.550329256821,248,1612,1556
type_kCfcsh,2165,7433.482986767486,340,2010,1331
type_vOhwEs,2136,12960.557392536608,195,1183,1499
type_MPxoTH,2116,11743.830207305034,203,1401,1528
type_YgqIFe,1824,8787.65875207068,307,1575,1129
type_oWxwZg,1745,6251.911764705882,114,1581,276
type_DiAZyX,1643,9193.380109823063,191,1264,1140
type_DNepgK,1480,8504.172413793103,234,1171,777
type_QHXrbv,1480,9780.884353741496,225,1128,1121
type_YwwqZR,1415,9052.607142857143,212,1105,1029
type_qkdgGE,1413,12662.280701754386,93,786,812
type_AWbXKM,1312,9612.675507020282,227,964,1044
type_iQQmHS,1309,6339.657853810264,309,1221,588
type_OGhnqx,1236,11178.360101437025,125,810,994
type_TCHRUI,1168,7090.850515463918,162,1021,694
type_cTQtSq,1160,13203.853046594983,101,721,861
type_HtAHwu,1150,8575.576241134751,226,952,855
type_SgStOb,1131,9731.915846016114,116,918,737
type_oAXCMx,1101,7891.244239631336,104,860,600
type_EALDJm,1019,11117.241379310344,129,594,556
type_cVhkbn,976,17727.357512953367,44,514,761
type_PkWZvJ,908,17890.129259694477,31,639,607
type_HfKfzV,889,13394.993079584776,148,626,766
type_sfleWH,860,9094.70588235294,131,666,694
type_rEfHmL,834,8210.78184110971,82,658,598
type_amzGIA,798,9169.220945083014,204,655,652
type_fnLTiU,771,12315.189048239896,42,447,504
type_EQAguk,757,11660.51930758988,81,556,575
type_WdjlyG,757,9277.476255088195,62,607,572
type_sDXgXU,696,10062.31778425656,84,549,493
type_wiXJCA,695,8622.826086956522,111,476,465
type_kwzqET,694,8135.568513119533,185,611,455
type_oWfbru,670,9697.819548872181,126,548,551
type_PkZpfa,640,9927.215189873417,130,404,522
type_vjgYNw,612,8918.575707154741,136,96,477
type_RjsWZd,596,10617.200674536256,81,390,421
type_ZnqLAd,583,13098.445595854922,44,321,442
type_NzejLx,580,11753.36787564767,39,317,415
type_YbtQWp,546,11211.121323529413,64,315,423
type_jImIvP,515,10689.439363817097,101,315,448
type_kiIJXj,513,14174.509803921568,44,253,359
type_BtQkpd,508,11546.092184368737,138,387,390
type_lIjlkP,469,8376.09649122807,96,374,409
type_fVZeOr,450,10463.963963963964,53,280,402
type_qtmmYS,399,10622.166246851386,85,261,317
type_hNPaoQ,380,9435.846560846561,108,316,279
type_vzSaPI,363,8261.495844875346,89,288,277
type_euNhiG,349,13301.339285714286,67,250,313
type_GNLkvm,347,7828.070175438596,85,296,302
type_AhjheX,347,8715.7060518732,75,268,296
type_SkCZro,331,8142.733564013841,21,174,203
type_hjdslw,311,13146.57980456026,72,193,262
type_Qsuxmp,305,10458.471760797342,81,243,249
type_WoMhkt,303,14231.605351170569,75,194,268
type_oaLAkP,283,9311.15107913669,71,254,187
type_EguSJg,263,10135.375494071146,66,200,247
type_cgjjyf,262,11073.076923076924,34,152,225
type_tFSEPv,261,6488.372093023256,118,242,232
type_CkxARz,251,14490.03984063745,31,132,218
type_bLteBD,250,8631.069958847736,85,232,222
type_yydJdA,240,13889.36170212766,40,109,222
type_yZDEvF,235,10695.278969957082,32,128,207
type_QZOppi,228,10154.867256637168,21,177,198
type_dsOEak,225,7081.473214285715,68,192,195
