job_title,demand,median_salary,city_coverage,industry_coverage
bfbc45b05c5a4425210cd2cb3d84ae09GC,3358,7500.0,278,141
c9a30a5443d04270fb0f49d437c3376bAy,2633,9000.0,290,134
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,2036,8500.0,231,41
6be068c4e74275ca8ed9975805e2f763Em,2035,7500.0,100,91
2006631955b0aa1d8a3bc1edc55e0754sn,1874,5500.0,294,120
71f952e353628d7e2f40d40038b09ac2Tn,1847,14000.0,66,108
e5ebf2752a03d6729cb633770e4eddd7Hd,1724,4500.0,227,37
39a3d2b8857c48c2443faeacf50ae574Xo,1572,7500.0,211,125
534952ab1cf024773caddc874099da11qn,1293,7500.0,208,60
09b8073e6d0a727247e9bbcf43f8e75avx,1176,8000.0,142,79
357b6e22304e1fba993bb725e5c00276aY,1174,5500.0,70,86
c7f9349f001ec07fe76d0becea13a18azM,1101,4500.0,209,33
63c630beb7b2f471af699f711207d28aVY,1083,12500.0,123,29
769db4ea593ce8f93a093a84ad1baec2OY,1076,10000.0,74,75
65e915067ec7ca2082c1bfc73ffbc06bhv,1067,5500.0,207,99
77f94afcb944fea2069092a4c92bab1fzk,1066,9500.0,24,47
cf8025d88a7ef18800686dbd36ecfae1dF,1032,6500.0,197,32
d4c894e72cbcba3ee54f16b94c185a4bJB,1012,5500.0,54,46
1647ffac32b2f51cfbe51f4150246471lB,1003,7500.0,205,83
0cf5da7bb05dfb15718653637b8df718vT,972,5500.0,120,51
6951495c1941499b294fcec5f33cd242wQ,923,7500.0,20,70
143594a38184724594778ca447bc06fcwe,919,14750.0,27,61
d26737bff980339cf372392e773fb063Es,900,6000.0,224,31
bb9685f7011f9604acad8ae63c6da0ddHn,877,9500.0,162,39
b33302c688b04656f05d2a96c98e14c8cK,838,4000.0,94,14
31e5c65f17292fdded6dd7f7d7622e5ddi,798,8000.0,202,22
02e22012bd6fdd7415a80c2da954d8f0hL,794,7000.0,160,22
c82f110050f63259dc05a34b7f3ffe5fFR,752,7000.0,164,86
c02aef655be4fb390a9dd9ca2443be6aUG,729,6000.0,62,18
4f7f001bdbae6c195a6d7ba55b98dca1pf,712,7000.0,100,65
8a6ed1d6ce11578d39635ef008e7cb2fOq,709,9500.0,36,23
e089e2787ca1f2cd11abb5b5b46da777eD,709,5500.0,281,22
f693da772b6ba497215104c0b3c3f571hM,703,7000.0,142,104
2d6d2afd6028853b0a50f674cd887f55zs,700,6000.0,219,68
33ed1e1a04b3fa96d01d39e545cc1f66wF,687,6500.0,76,98
3896ac0c41340ac06686eb161a775aa6kx,676,9500.0,22,73
02e9c21342c88515b4fa7e525d9ac652bO,663,6500.0,20,65
74cbfa3620bb69031ebe4050585bd896uh,656,6500.0,50,39
9f886439f15f3c3c2b24840763edfcdbrG,643,8000.0,64,44
df25af9b3490d9a57db263dfa308c5abDG,631,11000.0,132,87
600a4de652c1b94b122b5b1a72cdf8baqf,631,8000.0,71,30
dcbc4702b1a74e52cab4dc1e23971439LM,613,5500.0,133,88
487e36748734bdd5f6385b9588c3a46bmZ,604,6000.0,60,77
3091525444b8b4d7fbc725e42b1b44a2YQ,596,6500.0,82,90
8c9c8016d13138e456a315a6068ff697lQ,594,8000.0,197,33
0cb8293fae46fb1f84b1f68d2371dc3bLQ,592,12500.0,34,56
5064c34286de0a0fa07ec216e1bbd200WV,590,6000.0,24,61
