城市编码,招聘规模,平均薪资,中位薪资,职位数,行业数,企业数,薪资标准差
F047,25780,14623.52589896404,11000.0,13947,152,18970,11135.378666403787
P949,24682,13170.181945301254,10500.0,13120,154,18542,9518.069263818188
K115,24608,14295.26075550892,10500.0,13186,154,18207,10573.70939148192
F379,24523,8805.607943520086,7500.0,14951,154,17131,5722.541179985352
Y232,24378,10540.683868805763,8500.0,13267,152,18046,7755.687951506951
B170,23792,12130.61801975945,9500.0,12487,151,16744,8075.901610613181
Y633,23767,9904.26697484412,8000.0,14012,152,17348,6966.202697870035
N806,22962,10442.90122474245,8500.0,11483,148,16572,7001.873814420193
O198,22958,8444.099345653904,7000.0,12017,150,16701,5986.113377903574
S959,22340,9047.7450075058,7500.0,11401,148,15268,6452.380146976023
R892,22249,9112.916343212019,7500.0,12141,152,15197,6447.156487341787
V932,22185,8322.338071323258,7000.0,11588,149,15409,5463.99006089862
S542,22154,9741.082951105403,8000.0,12226,148,15119,6420.809945351859
V449,22091,8716.16819227231,7500.0,11434,152,15863,6632.430889300372
D022,597,5963.5600343053175,5000.0,522,94,593,5771.82432007289
K445,594,8173.615916955017,7000.0,529,89,573,4797.914434037912
D090,590,6096.901554404145,5500.0,500,83,587,4922.447220547989
A802,530,5989.615384615385,5000.0,461,72,336,4840.280156201115
Y253,300,5705.103389830509,5000.0,257,69,294,3632.87832470306
R858,300,5051.71821305842,4500.0,270,64,299,2635.270803917026
M935,300,5783.333333333333,5000.0,275,67,300,5128.157342036917
Z490,300,5030.214765100671,4500.0,262,66,297,2546.6608243725846
F861,300,8420.068027210884,6500.0,282,73,300,6147.885010127106
M120,300,5683.620689655172,5250.0,260,70,300,3407.5961848112242
L122,300,5723.5494880546075,5000.0,279,68,298,3053.241881693086
D135,300,6414.965986394558,6000.0,277,75,299,3002.771273852073
P741,300,6685.810810810811,5500.0,252,73,297,3858.363315701429
H166,300,7568.750859106529,6500.0,287,81,300,4754.318210734498
O824,300,5810.402684563758,4500.0,274,67,295,5850.886361720806
F301,300,6824.829931972789,5500.0,272,72,300,6922.468917195995
Y964,300,6907.986111111111,6000.0,283,75,299,4054.855407546987
P050,300,6704.697986577181,5500.0,287,69,299,4346.140136208789
O238,300,5150.847457627118,4000.0,268,64,298,4770.422366151827
O445,300,5324.9158249158245,4500.0,251,68,299,2523.467974413509
X910,300,6148.1164383561645,5500.0,280,71,298,3313.077526152881
J309,300,6044.067796610169,5500.0,272,70,299,3034.342613718628
E333,299,10952.406462585033,9000.0,293,76,298,7444.371422951645
L867,299,7084.760273972603,6500.0,277,68,298,3576.1666604859265
N430,299,6127.986348122867,5500.0,262,69,296,3565.6516397779724
L518,299,5284.129692832765,5000.0,265,63,295,2739.2590383190445
E180,299,6764.375,6000.0,279,72,299,3208.203921925947
P258,299,6895.13422818792,6000.0,290,63,298,4184.119184359533
O910,299,6651.515151515152,5500.0,265,66,284,4029.5285998613713
F410,299,6271.331058020478,5500.0,279,67,291,3361.182614004003
P772,299,5528.061224489796,4500.0,267,72,296,3947.211827512661
D575,299,7945.9899328859065,7000.0,282,74,299,3874.1071450871736
D346,299,5663.265306122449,5000.0,250,70,299,3481.6257163904247
Q715,299,5986.321917808219,5000.0,267,65,296,5332.862975094436
V436,299,7392.857142857143,6500.0,287,69,288,5184.768648509455
I227,299,6653.061224489796,5750.0,282,73,291,3327.533931381941
G905,299,6122.881355932203,5500.0,270,65,296,3343.6191901286843
A655,299,6507.6474576271185,5500.0,272,76,294,3719.9897974293167
Y350,299,6341.156462585034,5500.0,266,64,297,3525.4181882518656
I606,299,8126.746551724138,7000.0,278,80,299,4837.962546441075
Y031,299,5717.710884353742,5500.0,263,69,297,2521.9094751335733
X990,299,8729.40206185567,7500.0,282,83,298,5428.601322357277
V852,299,6200.847457627118,5500.0,270,72,299,4070.4519664707445
J719,299,6836.824324324324,6000.0,281,78,297,4874.182631126556
R716,299,9004.095563139932,7500.0,281,81,295,8578.607130076904
G496,299,8015.924657534247,7000.0,288,76,298,4432.143388740823
J884,299,5882.225423728813,5500.0,276,72,295,3473.609270604227
U989,299,6842.096283783784,6250.0,277,74,293,3526.550730184158
K227,299,5912.414965986394,5500.0,262,66,299,3193.4538340729882
U553,299,6212.863175675676,5500.0,284,73,299,3245.3346330337313
K535,299,6780.102040816327,5500.0,279,80,299,3779.142099288803
S528,299,5317.63698630137,4500.0,266,63,275,2943.603157971028
L504,299,5779.054054054054,5500.0,263,65,299,2856.8592065206535
L847,298,8462.71186440678,7500.0,273,63,298,4793.91260485149
I652,298,6440.924657534247,5500.0,271,71,297,4063.6234953339094
K571,298,5551.369863013699,4500.0,270,63,298,3026.3615277108293
L726,298,5409.013605442177,4500.0,270,66,298,3252.724567565205
L599,298,6568.493150684932,6000.0,281,69,298,3686.666854793732
I529,298,7714.751712328767,6500.0,280,73,298,5108.844837942894
K816,298,6483.389830508475,5500.0,280,71,297,3000.1239261079004
I057,298,7607.142857142857,6500.0,280,72,298,4653.845340201148
M066,298,6566.780821917808,5500.0,233,60,295,4612.826795423755
A050,298,5967.465753424657,5500.0,259,65,297,3374.3732647848283
M857,298,5246.621621621622,4500.0,267,70,293,2861.193671500761
U289,298,5684.095890410959,5000.0,274,62,298,3121.7286807807573
Z824,298,7108.558020477815,6500.0,272,70,298,3437.3487996702784
Z196,298,7245.904436860068,6500.0,274,69,298,4264.2830442229515
Z182,298,5940.476190476191,5500.0,264,62,297,3742.8923920513053
Z087,298,6350.694444444444,5500.0,280,66,292,5137.3401994056185
Y528,298,7198.606271777004,6500.0,281,73,298,3684.5355537074074
Y255,298,6331.696917808219,5500.0,282,67,294,3029.142450312629
X916,298,6309.726962457338,5500.0,267,56,297,3487.47994453751
W823,298,5452.389078498293,4500.0,274,70,288,4392.255921616614
V838,298,9147.588541666666,7500.0,290,83,297,5412.0711980980905
V726,298,5372.895622895623,5000.0,273,66,298,3143.6681910070743
V365,298,5116.211604095563,4500.0,251,65,295,2420.5848770186067
V339,298,6001.683501683502,5500.0,247,65,298,4011.0696314922766
U947,298,6769.896193771627,6000.0,274,64,296,4267.9148958983815
U038,298,7333.8983050847455,6500.0,279,71,296,3535.9480523727652
N386,298,7198.151360544218,6500.0,277,74,298,7920.019981684907
T526,298,5194.539249146757,4500.0,264,62,296,3281.8049988809908
T182,298,5689.830508474576,5500.0,261,65,298,3353.021528790928
T061,298,7686.265306122449,7000.0,285,71,296,3916.3315666081353
S503,298,5684.075342465753,5000.0,266,76,298,3318.395282668411
S213,298,5888.625850340136,5000.0,275,72,295,4356.683971178306
Q095,298,6975.340136054422,6000.0,264,69,298,3437.83591147393
P939,298,6250.853242320819,5500.0,264,61,298,4613.6012019144255
P773,298,7088.9655172413795,6500.0,284,68,297,3051.6174675665043
H610,298,27510.48951048951,22500.0,284,64,255,19049.102620247802
P357,298,6204.310344827586,5500.0,275,75,294,3220.800214387704
P248,298,5517.857142857143,5000.0,269,66,297,2688.2811984700893
O482,298,5816.837328767123,5500.0,286,72,298,2839.7981424337477
N821,298,7827.166101694916,6500.0,285,71,297,4465.271888546421
H879,298,6150.506756756757,5500.0,254,65,298,2756.0087968092166
N214,298,6303.389830508475,5500.0,252,70,297,3333.5526850460697
Z885,298,6245.748299319728,5500.0,272,72,298,3156.434559906128
D672,298,5954.697986577181,5000.0,280,71,298,3443.697421185955
E551,298,8951.36518771331,7500.0,282,69,296,5176.7540386283745
E478,298,6662.671232876713,6000.0,282,72,296,3647.4927209348484
A861,298,6515.433219178082,5500.0,278,72,298,3211.6604522653497
B826,298,5384.494880546075,5000.0,264,69,295,2919.2538155958573
A561,298,6625.0,5500.0,277,64,296,3188.1921385995524
G887,298,6498.299319727891,5500.0,267,68,298,5499.068847538228
G129,298,5969.3877551020405,5500.0,262,77,298,2802.804841982158
H187,298,5719.4915254237285,5500.0,255,63,297,3086.673364912884
A155,298,6593.878839590444,6000.0,261,70,298,3625.0098081817264
C906,298,5329.351535836177,4500.0,251,63,294,3544.4668324022077
D475,297,5869.4915254237285,5500.0,273,78,296,2798.6424209673773
B748,297,5241.349480968858,4500.0,262,62,292,2954.5036089596565
X066,297,6348.122866894198,5500.0,268,73,297,3519.571730045321
L088,297,6441.780821917808,5500.0,265,69,297,6086.436465228783
F659,297,5883.620689655172,5500.0,252,67,295,3977.9385987926253
E727,297,7620.84300341297,5500.0,226,61,297,12521.635572077841
M108,297,5816.610169491525,5000.0,261,62,296,5036.698184924195
E498,297,6534.482758620689,5500.0,254,68,291,5149.37936678038
R141,297,5807.093425605536,5500.0,251,63,297,3103.290121475418
N164,297,5563.993174061434,4500.0,258,69,282,3475.630734119097
N377,297,4836.177474402731,4500.0,274,72,297,2421.374226854899
V079,297,5708.762886597938,5000.0,261,61,296,3064.749612678162
N476,297,5763.888888888889,5500.0,274,85,297,2519.5710909567174
R885,297,6367.241379310345,5500.0,248,55,294,4080.7755865645454
P713,297,5408.616838487973,4500.0,260,67,296,4305.218345028586
U692,297,6111.39455782313,5500.0,265,61,297,3758.228436873489
E027,297,5921.186440677966,5500.0,267,62,296,2960.901731527255
D906,297,6044.368600682594,4500.0,270,57,293,8375.07374904988
U125,297,5768.103448275862,5000.0,263,62,297,3130.366648267136
X232,297,6685.923469387755,5750.0,282,73,293,4034.5606827542133
T766,297,5759.38566552901,4500.0,280,68,296,3533.250419289618
C070,297,7311.168384879725,5500.0,257,63,293,14299.566089721313
P193,297,6086.148972602739,5500.0,281,69,280,3457.5925765372344
D762,297,6086.505190311419,5500.0,274,67,297,2843.936880454223
Q163,297,5961.664383561644,5500.0,267,59,287,3087.8538833933817
S295,297,6057.84693877551,5500.0,283,79,293,2694.5984688322146
D490,297,5355.290102389078,4500.0,264,68,296,4359.311126120675
P543,297,6513.54222972973,5250.0,266,57,297,12219.144507797913
T815,297,5500.0,5000.0,263,58,279,2767.6117244899515
V829,297,5634.353741496599,5000.0,264,68,296,3259.767693732485
G282,297,5865.397923875433,5000.0,255,67,294,4827.789197865152
X536,297,5760.2040816326535,5500.0,246,66,294,3145.148703601287
J351,297,5386.986301369863,5000.0,266,63,297,2626.37334256187
K132,297,6530.30276816609,6000.0,273,60,297,3370.727583712961
