city,demand,avg_salary,job_richness,industry_richness,company_count
F047,25780,14623.52589896404,13947,152,18970
P949,24682,13170.181945301254,13120,154,18542
K115,24608,14295.26075550892,13186,154,18207
F379,24523,8805.607943520086,14951,154,17131
Y232,24378,10540.683868805763,13267,152,18046
B170,23792,12130.61801975945,12487,151,16744
Y633,23767,9904.26697484412,14012,152,17348
N806,22962,10442.90122474245,11483,148,16572
O198,22958,8444.099345653904,12017,150,16701
S959,22340,9047.7450075058,11401,148,15268
R892,22249,9112.916343212019,12141,152,15197
V932,22185,8322.338071323258,11588,149,15409
S542,22154,9741.082951105403,12226,148,15119
V449,22091,8716.16819227231,11434,152,15863
D022,597,5963.5600343053175,522,94,593
K445,594,8173.615916955017,529,89,573
D090,590,6096.901554404145,500,83,587
A802,530,5989.615384615385,461,72,336
Y253,300,5705.103389830509,257,69,294
R858,300,5051.71821305842,270,64,299
M935,300,5783.333333333333,275,67,300
Z490,300,5030.214765100671,262,66,297
F861,300,8420.068027210884,282,73,300
M120,300,5683.620689655172,260,70,300
L122,300,5723.5494880546075,279,68,298
D135,300,6414.965986394558,277,75,299
P741,300,6685.810810810811,252,73,297
H166,300,7568.750859106529,287,81,300
O824,300,5810.402684563758,274,67,295
F301,300,6824.829931972789,272,72,300
Y964,300,6907.986111111111,283,75,299
P050,300,6704.697986577181,287,69,299
O238,300,5150.847457627118,268,64,298
O445,300,5324.9158249158245,251,68,299
X910,300,6148.1164383561645,280,71,298
J309,300,6044.067796610169,272,70,299
E333,299,10952.406462585033,293,76,298
L867,299,7084.760273972603,277,68,298
N430,299,6127.986348122867,262,69,296
L518,299,5284.129692832765,265,63,295
E180,299,6764.375,279,72,299
P258,299,6895.13422818792,290,63,298
O910,299,6651.515151515152,265,66,284
F410,299,6271.331058020478,279,67,291
P772,299,5528.061224489796,267,72,296
D575,299,7945.9899328859065,282,74,299
D346,299,5663.265306122449,250,70,299
Q715,299,5986.321917808219,267,65,296
V436,299,7392.857142857143,287,69,288
I227,299,6653.061224489796,282,73,291
G905,299,6122.881355932203,270,65,296
A655,299,6507.6474576271185,272,76,294
Y350,299,6341.156462585034,266,64,297
I606,299,8126.746551724138,278,80,299
Y031,299,5717.710884353742,263,69,297
X990,299,8729.40206185567,282,83,298
V852,299,6200.847457627118,270,72,299
J719,299,6836.824324324324,281,78,297
R716,299,9004.095563139932,281,81,295
G496,299,8015.924657534247,288,76,298
J884,299,5882.225423728813,276,72,295
U989,299,6842.096283783784,277,74,293
K227,299,5912.414965986394,262,66,299
U553,299,6212.863175675676,284,73,299
K535,299,6780.102040816327,279,80,299
S528,299,5317.63698630137,266,63,275
L504,299,5779.054054054054,263,65,299
L847,298,8462.71186440678,273,63,298
I652,298,6440.924657534247,271,71,297
K571,298,5551.369863013699,270,63,298
L726,298,5409.013605442177,270,66,298
L599,298,6568.493150684932,281,69,298
I529,298,7714.751712328767,280,73,298
K816,298,6483.389830508475,280,71,297
I057,298,7607.142857142857,280,72,298
M066,298,6566.780821917808,233,60,295
A050,298,5967.465753424657,259,65,297
M857,298,5246.621621621622,267,70,293
U289,298,5684.095890410959,274,62,298
Z824,298,7108.558020477815,272,70,298
Z196,298,7245.904436860068,274,69,298
Z182,298,5940.476190476191,264,62,297
Z087,298,6350.694444444444,280,66,292
Y528,298,7198.606271777004,281,73,298
Y255,298,6331.696917808219,282,67,294
X916,298,6309.726962457338,267,56,297
W823,298,5452.389078498293,274,70,288
V838,298,9147.588541666666,290,83,297
V726,298,5372.895622895623,273,66,298
V365,298,5116.211604095563,251,65,295
V339,298,6001.683501683502,247,65,298
U947,298,6769.896193771627,274,64,296
U038,298,7333.8983050847455,279,71,296
N386,298,7198.151360544218,277,74,298
T526,298,5194.539249146757,264,62,296
T182,298,5689.830508474576,261,65,298
T061,298,7686.265306122449,285,71,296
S503,298,5684.075342465753,266,76,298
S213,298,5888.625850340136,275,72,295
Q095,298,6975.340136054422,264,69,298
P939,298,6250.853242320819,264,61,298
P773,298,7088.9655172413795,284,68,297
H610,298,27510.48951048951,284,64,255
P357,298,6204.310344827586,275,75,294
P248,298,5517.857142857143,269,66,297
O482,298,5816.837328767123,286,72,298
N821,298,7827.166101694916,285,71,297
H879,298,6150.506756756757,254,65,298
N214,298,6303.389830508475,252,70,297
Z885,298,6245.748299319728,272,72,298
D672,298,5954.697986577181,280,71,298
E551,298,8951.36518771331,282,69,296
E478,298,6662.671232876713,282,72,296
A861,298,6515.433219178082,278,72,298
B826,298,5384.494880546075,264,69,295
A561,298,6625.0,277,64,296
G887,298,6498.299319727891,267,68,298
G129,298,5969.3877551020405,262,77,298
H187,298,5719.4915254237285,255,63,297
A155,298,6593.878839590444,261,70,298
