company_type,count,ratio
type_BLfSmG,21579,0.050106347407723885
type_lOdYUb,21087,0.048963925473222744
type_uTAWZv,19677,0.045689911392640205
type_qrSFSq,18785,0.04361869113740642
type_CbBLwi,13685,0.031776512548065315
type_fFlUqG,13392,0.031096167778128656
type_yZblEo,12864,0.02987015399476158
type_qGLNuz,12280,0.02851410844649193
type_YOHpQY,10930,0.025379414114019283
type_HfjYoW,10688,0.024817491129976037
type_qhLBWb,9187,0.02133217543142682
type_vrMpBQ,8472,0.019671948433117235
type_lYwbWD,8045,0.018680456225735144
type_PCcrub,7843,0.018211413073765163
type_ZcPYrP,7686,0.017846859732877602
type_qnHODO,7648,0.017758623892408003
type_HcIRlZ,7339,0.01704112718964204
type_XqvUzw,7290,0.016927349395352294
type_BmzsHA,7209,0.016739267735403934
type_lwxCGv,6558,0.01522764846841157
type_SNJDAt,6340,0.014721453383612283
type_pmgfTy,6259,0.014533371723663924
type_FwqxZf,5740,0.013328255902513329
type_xjtctu,5601,0.013005498486058737
type_uipXwT,5593,0.012986922519644084
type_ruszQK,5330,0.012376237623762377
type_QbeiZo,5247,0.012183511972210355
type_jIzdnZ,4960,0.011517099177084688
type_ZIwauc,4825,0.011203629743837424
type_FdhMSx,4770,0.011075919974736686
