行业编码,招聘规模,平均薪资,中位薪资,企业数,城市覆盖,职位数,薪资标准差
type_BLfSmG,21579,15385.385752817647,11500.0,9563,363,13829,11893.704417121766
type_lOdYUb,21087,8102.120063035556,7000.0,16883,365,8306,5276.991968626726
type_uTAWZv,19677,5885.265904623979,5000.0,16648,368,14436,4095.9402875734263
type_qrSFSq,18785,9876.56643602357,7500.0,13574,359,9795,7702.359651658713
type_CbBLwi,13685,13664.421630565583,11500.0,7446,296,7695,8838.560202741772
type_fFlUqG,13392,7322.611789997737,6500.0,10859,365,7182,4710.082860405741
type_yZblEo,12864,8440.047839385146,7000.0,9955,363,4393,6114.533134797355
type_qGLNuz,12280,7428.9560693641615,6500.0,10360,367,6847,5233.756319477572
type_YOHpQY,10930,8264.17772861357,7500.0,9515,363,3526,6623.13628958666
type_HfjYoW,10688,7703.343523118074,6500.0,9121,366,4049,5429.302416761678
type_qhLBWb,9187,8707.681925542684,7500.0,7601,367,5224,6284.5469085109
type_vrMpBQ,8472,8786.217986896963,7500.0,6661,314,4221,5113.390520844867
type_lYwbWD,8045,8211.447451227186,7500.0,6704,365,4049,4841.4424762715325
type_PCcrub,7843,7928.256974660865,7500.0,6646,362,2953,4325.469885450203
type_ZcPYrP,7686,10983.92009493671,9000.0,3948,309,4707,8251.117688151664
type_qnHODO,7648,6496.921961508041,5500.0,7204,360,2042,4084.437167830669
type_HcIRlZ,7339,9051.90410958904,7500.0,5846,311,3887,5360.747317365437
type_XqvUzw,7290,5184.725668596637,4500.0,6476,359,2354,2650.113291077713
type_BmzsHA,7209,10919.419924337957,9000.0,4689,274,3682,6891.500158836949
type_lwxCGv,6558,7747.711159062886,6500.0,5284,363,4239,5556.1248992074525
type_SNJDAt,6340,9617.091150016062,7500.0,4229,358,4424,7147.3556660341765
type_pmgfTy,6259,10951.087214085897,8500.0,4445,318,4000,8364.306960877062
type_FwqxZf,5740,8612.334918119388,7500.0,4616,332,2639,5494.5520976975295
type_xjtctu,5601,13948.671674606083,11500.0,3003,191,2841,9453.902974404222
type_uipXwT,5593,8484.07783665266,7500.0,4396,349,3828,7184.289952824175
type_ruszQK,5330,9431.624739928126,8000.0,3392,337,2668,6112.328326864044
type_QbeiZo,5247,10554.142829494871,7500.0,3628,317,3082,7835.670009488548
type_jIzdnZ,4960,10808.983236754966,8500.0,3098,291,3502,8293.243914230154
type_ZIwauc,4825,13493.292172457095,10500.0,3132,191,2906,10415.892567848165
type_FdhMSx,4770,6632.045368421052,5500.0,2742,312,2741,4207.161011074388
type_IWPTYt,4692,14366.109289617487,11000.0,2758,190,2987,10470.880068802737
type_irYhZM,4595,9885.492346938776,7500.0,2458,323,3419,8508.5168156536
type_GXFMik,4454,7760.930809105252,6500.0,3831,308,2572,4693.997972387581
type_BPRUkx,4354,13385.979333020197,10500.0,2109,260,3146,8679.976944505566
type_aAuygy,4239,8226.074303405572,7000.0,3122,292,2900,5748.756765224667
type_MmKysX,3908,9095.989166881609,7500.0,3051,283,2099,7296.158444860838
type_plzlSo,3905,10781.654771345493,9000.0,2094,231,2687,7105.765842440693
type_fvIHbx,3836,7445.836648103951,6500.0,3030,279,1643,3813.433418730632
type_fWnADK,3808,9175.19042437432,8000.0,3029,283,1728,5238.529480702698
type_UUMBcC,3654,10371.017089305402,8500.0,2760,173,1925,7443.36034088816
type_xfFBgF,3528,7823.450824332007,6500.0,3041,343,1942,4716.616532197382
type_cPyqFN,3505,13558.0,10500.0,2105,253,2492,10714.784048873264
type_LPhcvI,3330,7361.712135465663,6000.0,2666,318,1349,5836.833166105783
type_Hzhxlm,3315,8620.410703173615,7500.0,2827,315,1880,5751.030735039266
type_xvJgzl,3260,10849.798199316981,8500.0,1966,258,2147,7266.039921400659
type_xkGnwk,3009,9955.91577540107,7925.0,2150,259,1924,6742.704622563553
type_MhfbrD,2988,5643.003763256927,4500.0,2696,333,1198,3486.251938107913
type_BByMdf,2942,9789.647184604419,8500.0,2211,179,1282,7909.191650674483
type_MDYYNy,2931,9663.957968476358,8000.0,2219,225,1721,5885.7475245332635
type_birMPO,2658,8949.184679560107,7500.0,2126,323,1610,6512.5598202542715
type_xKVDuy,2648,12294.011411182959,10000.0,1795,266,1936,9897.512787583924
type_gtGYMQ,2607,14777.107241788683,11000.0,1760,162,1819,12761.760727973375
type_PanQpo,2579,8296.495101880877,7500.0,2168,273,1837,5314.077203076957
type_rJQdMX,2334,7880.7958477508655,6500.0,1791,305,1536,7171.627300511865
type_NKZQoO,2302,11412.123211091235,8500.0,1726,216,1559,9111.546143294734
type_bMfEOy,2244,14393.65909090909,10500.0,1039,173,1681,10706.800401001414
type_bMIeXj,2222,10205.550329256821,8000.0,1612,248,1556,7522.739629436169
type_kCfcsh,2165,7433.482986767486,6000.0,2010,340,1331,5237.788916426832
type_vOhwEs,2136,12960.557392536608,10500.0,1183,195,1499,7469.660010479298
type_MPxoTH,2116,11743.830207305034,9000.0,1401,203,1528,8655.777999640328
type_YgqIFe,1824,8787.65875207068,7500.0,1575,307,1129,7511.902955126778
type_oWxwZg,1745,6251.911764705882,5500.0,1581,114,276,2936.302011661485
type_DiAZyX,1643,9193.380109823063,7500.0,1264,191,1140,5476.045385236231
type_DNepgK,1480,8504.172413793103,7500.0,1171,234,777,4907.134301300333
type_QHXrbv,1480,9780.884353741496,8000.0,1128,225,1121,6835.587305590398
type_YwwqZR,1415,9052.607142857143,7500.0,1105,212,1029,5927.630807794615
type_qkdgGE,1413,12662.280701754386,10500.0,786,93,812,10633.430385287214
type_AWbXKM,1312,9612.675507020282,7500.0,964,227,1044,7185.257726024296
type_iQQmHS,1309,6339.657853810264,5500.0,1221,309,588,3667.6153948309916
type_OGhnqx,1236,11178.360101437025,9000.0,810,125,994,7648.300631761566
type_TCHRUI,1168,7090.850515463918,6500.0,1021,162,694,3379.2396456845445
type_cTQtSq,1160,13203.853046594983,10500.0,721,101,861,8506.097703718278
type_HtAHwu,1150,8575.576241134751,7500.0,952,226,855,4865.8462054385445
type_SgStOb,1131,9731.915846016114,7000.0,918,116,737,9015.613184541035
type_oAXCMx,1101,7891.244239631336,6500.0,860,104,600,4882.774038037
type_EALDJm,1019,11117.241379310344,10500.0,594,129,556,5334.616611748334
type_cVhkbn,976,17727.357512953367,12500.0,514,44,761,12454.808465092296
type_PkWZvJ,908,17890.129259694477,12500.0,639,31,607,16993.44084832808
type_HfKfzV,889,13394.993079584776,8500.0,626,148,766,15924.843861593065
type_sfleWH,860,9094.70588235294,7500.0,666,131,694,5505.017111676182
type_rEfHmL,834,8210.78184110971,7000.0,658,82,598,4825.181254152785
type_amzGIA,798,9169.220945083014,7500.0,655,204,652,7924.098714736627
type_fnLTiU,771,12315.189048239896,10500.0,447,42,504,7140.490631531717
type_EQAguk,757,11660.51930758988,9500.0,556,81,575,7433.119748573056
type_WdjlyG,757,9277.476255088195,7500.0,607,62,572,5872.224842452691
type_sDXgXU,696,10062.31778425656,8500.0,549,84,493,6255.029907648807
type_wiXJCA,695,8622.826086956522,8000.0,476,111,465,3958.5851273705402
type_kwzqET,694,8135.568513119533,6500.0,611,185,455,5582.266908425727
type_oWfbru,670,9697.819548872181,8000.0,548,126,551,6989.392170939872
type_PkZpfa,640,9927.215189873417,9000.0,404,130,522,6295.330307036923
type_vjgYNw,612,8918.575707154741,7500.0,96,136,477,5386.397376618459
type_RjsWZd,596,10617.200674536256,9000.0,390,81,421,6019.702946945059
type_ZnqLAd,583,13098.445595854922,10500.0,321,44,442,8048.204532413702
type_NzejLx,580,11753.36787564767,9500.0,317,39,415,6826.5708146635925
type_YbtQWp,546,11211.121323529413,9000.0,315,64,423,7231.918484399258
type_jImIvP,515,10689.439363817097,8500.0,315,101,448,7746.572755032073
type_kiIJXj,513,14174.509803921568,10500.0,253,44,359,10408.216928067512
type_BtQkpd,508,11546.092184368737,9500.0,387,138,390,7316.2826439678165
type_lIjlkP,469,8376.09649122807,7000.0,374,96,409,6161.226588982008
type_fVZeOr,450,10463.963963963964,8500.0,280,53,402,5579.999640651343
type_qtmmYS,399,10622.166246851386,9500.0,261,85,317,6059.5633441517175
type_hNPaoQ,380,9435.846560846561,7750.0,316,108,279,6296.183589764726
type_vzSaPI,363,8261.495844875346,7000.0,288,89,277,4258.021773417716
type_euNhiG,349,13301.339285714286,10000.0,250,67,313,9982.417662072852
type_GNLkvm,347,7828.070175438596,6500.0,296,85,302,4600.468714586368
type_AhjheX,347,8715.7060518732,7500.0,268,75,296,4832.922948432292
type_SkCZro,331,8142.733564013841,7500.0,174,21,203,4045.552144573079
type_hjdslw,311,13146.57980456026,10000.0,193,72,262,11607.874117684476
type_Qsuxmp,305,10458.471760797342,8500.0,243,81,249,7396.672877497008
type_WoMhkt,303,14231.605351170569,8000.0,194,75,268,13129.65402681517
type_oaLAkP,283,9311.15107913669,7500.0,254,71,187,7517.088938349512
type_EguSJg,263,10135.375494071146,7500.0,200,66,247,7312.246709580992
type_cgjjyf,262,11073.076923076924,8500.0,152,34,225,6437.323761792413
type_tFSEPv,261,6488.372093023256,5500.0,242,118,232,3139.7973343349354
type_CkxARz,251,14490.03984063745,12500.0,132,31,218,7940.333771221859
type_bLteBD,250,8631.069958847736,7500.0,232,85,222,12069.365276985382
type_yydJdA,240,13889.36170212766,11000.0,109,40,222,8449.099331015383
type_yZDEvF,235,10695.278969957082,7500.0,128,32,207,11611.781473792733
type_QZOppi,228,10154.867256637168,7500.0,177,21,198,7934.195932381044
type_dsOEak,225,7081.473214285715,6000.0,192,68,195,4079.7655640459616
type_wEOEft,216,10051.162790697674,10000.0,157,46,196,3230.937777484038
type_kCYTOy,197,14404.145077720208,10000.0,97,37,178,11271.761749486019
type_VBUKIy,188,6922.043010752688,5500.0,151,43,102,4283.2922571664685
type_XiYUxk,173,7257.324074074074,8000.0,92,34,148,3632.5082826921093
type_SZBUrQ,171,9520.710059171597,7500.0,99,43,161,6425.638061143412
type_BFBWru,163,8904.458598726114,7500.0,132,48,144,5154.856360368478
type_NUgLOO,152,8896.666666666666,8000.0,103,50,145,4023.5450772688414
type_NqSxHM,148,8821.917808219177,8500.0,94,24,131,3482.8346194301803
type_btoDfW,146,9343.75,7000.0,127,79,130,6852.932798230474
type_PnQIgn,143,14444.444444444445,11500.0,112,21,134,9907.532688823161
type_KGWlNJ,139,11136.194029850747,10000.0,104,27,129,5700.763013800254
type_TrLkYZ,130,6175.78125,6000.0,120,31,65,2351.5699595390097
type_cKPiRk,125,9028.92561983471,9000.0,88,20,112,2712.0852376148046
type_cXHODn,116,8339.224137931034,7500.0,86,24,98,3306.3167871744263
type_gjAfBT,109,10185.185185185184,9500.0,87,26,85,4502.643352703791
type_tjGjDL,109,12013.302752293577,10000.0,64,29,104,6814.909588140505
type_eUeSgv,103,7740.196078431372,6500.0,53,21,98,4440.325110832028
type_lKGeKN,102,10397.959183673469,9500.0,96,26,52,4167.84400226098
type_lYBMVZ,102,9832.474226804125,9500.0,84,30,89,5725.800713824486
type_vLcQvm,100,10265.0,8000.0,64,26,96,7468.944119661512
type_dZRlFC,96,13857.608695652174,10500.0,70,22,86,9418.72093805388
type_sIBWvi,95,8573.684210526315,7500.0,71,35,83,4928.595685500183
type_IFmZvL,90,9073.863636363636,7500.0,74,37,81,6491.612525143003
type_nQwYnp,79,11078.205128205129,9250.0,61,16,64,7485.599116917372
type_JzQWyM,76,8510.0,7500.0,68,36,58,4977.7274202461385
type_tQUfOq,72,17090.277777777777,10500.0,52,28,68,21596.70788502378
type_wedisU,68,10022.058823529413,8750.0,61,23,49,6918.196762469924
type_lOOuyw,44,11431.818181818182,9250.0,25,13,42,6486.65079049283
type_vQQLek,42,12108.75,8750.0,16,17,39,8141.378068789974
type_WHjRBO,40,10500.0,10000.0,31,16,39,4110.603218936293
type_ZjNQpn,32,8140.625,7500.0,27,11,30,3067.0842910469705
type_MpUmNW,30,19766.666666666668,12500.0,22,12,30,16985.15240728945
type_oSChwS,23,14826.08695652174,12500.0,12,7,23,9477.975301206301
type_CiMmHM,12,8458.333333333334,7000.0,10,9,12,5361.726033713962
type_ylOZvC,9,11250.0,8500.0,6,5,9,7221.001117771492
type_PeStkD,8,8500.0,8750.0,4,5,8,1133.8934190276816
type_IkixkP,4,9125.0,8750.0,4,4,4,5022.8643886398795
type_ISPdob,3,8000.0,8000.0,3,3,3,2500.0
