city,city_cluster_label
F047,2
P949,4
K115,4
F379,5
Y232,4
B170,1
Y633,5
N806,1
O198,1
S959,3
R892,3
V932,3
S542,3
V449,3
D022,0
K445,0
D090,0
A802,0
P050,0
Y964,0
F861,0
M120,0
P741,0
L122,0
J309,0
Z490,0
R858,0
O824,0
O238,0
M935,0
D135,0
H166,0
F301,0
X910,0
O445,0
Y253,0
K227,0
U989,0
L867,0
D575,0
U553,0
E333,0
N430,0
R716,0
F410,0
E180,0
I227,0
O910,0
X990,0
A655,0
Q715,0
Y031,0
I606,0
P258,0
G905,0
K535,0
Y350,0
V436,0
L504,0
J719,0
V852,0
J884,0
D346,0
P772,0
L518,0
S528,0
A861,0
O482,0
N214,0
T182,0
C906,0
S213,0
P773,0
X916,0
I652,0
P357,0
K816,0
G887,0
L726,0
P939,0
Z087,0
E478,0
A561,0
L847,0
W823,0
P248,0
I529,0
G496,0
V838,0
I057,0
Z824,0
U947,0
Z885,0
M066,0
V339,0
N386,0
H879,0
Z182,0
T526,0
U289,0
M857,0
K571,0
H187,0
Y528,0
S503,0
V726,0
V365,0
G129,0
Q095,0
U038,0
Y255,0
L599,0
Z196,0
A155,0
T061,0
E551,0
N821,0
A050,0
H610,0
D672,0
B826,0
L088,0
R141,0
E727,0
P713,0
J351,0
V079,0
N377,0
N164,0
H442,0
D762,0
D906,0
P193,0
T815,0
R885,0
X536,0
E498,0
Z789,0
I282,0
U125,0
U692,0
Q163,0
D475,0
X232,0
E027,0
I784,0
X066,0
G282,0
S295,0
B748,0
A717,0
Y034,0
T766,0
N476,0
G380,0
P543,0
D490,0
M108,0
F659,0
V829,0
K132,0
C070,0
D881,0
R775,0
P623,0
O641,0
D821,0
P851,0
Y359,0
I730,0
B729,0
O344,0
D051,0
R251,0
S124,0
M907,0
Y531,0
F469,0
M060,0
B873,0
G575,0
Z731,0
Y532,0
S500,0
P548,0
Y434,0
L086,0
B574,0
C815,0
L802,0
R988,0
W055,0
Y495,0
B455,0
F958,0
F554,0
V404,0
E057,0
U192,0
M247,0
C144,0
E416,0
B474,0
B674,0
A845,0
R635,0
W396,0
K294,0
O576,0
Q821,0
S764,0
W657,0
V042,0
L161,0
K909,0
E956,0
S732,0
I426,0
N737,0
S655,0
P353,0
T818,0
G691,0
S546,0
W805,0
C354,0
I485,0
V883,0
B470,0
O776,0
X673,0
R494,0
R105,0
J532,0
L977,0
V625,0
G904,0
K845,0
O621,0
I345,0
Y770,0
E072,0
S750,0
N914,0
H696,0
N273,0
I219,0
J722,0
I705,0
D767,0
G022,0
Q598,0
J232,0
Q828,0
G065,0
O525,0
Z581,0
W029,0
R761,0
B383,0
Z450,0
U072,0
J130,0
G378,0
S668,0
H574,0
J565,0
S198,0
J037,0
B623,0
J674,0
L015,0
M697,0
Q985,0
K389,0
B055,0
S808,0
T739,0
N780,0
K628,0
Z463,0
M101,0
V754,0
B736,0
H913,0
A685,0
U561,0
B608,0
G328,0
X798,0
J470,0
C675,0
S413,0
R083,0
Q531,0
Y784,0
C326,0
L623,0
W665,0
R230,0
O323,0
D460,0
D832,0
W405,0
A295,0
Z347,0
E174,0
A497,0
B733,0
R646,0
U555,0
B369,0
P512,0
U827,0
S335,0
B937,0
Y788,0
M585,0
A149,0
D899,0
O145,0
S759,0
C023,0
R387,0
K641,0
Z251,0
U183,0
X246,0
Q027,0
L961,0
O309,0
P711,0
F106,0
C180,0
N629,0
S650,0
M738,0
R246,0
W147,0
P559,0
A195,0
V996,0
C324,0
A181,0
S297,0
S303,0
O354,0
F446,0
H800,0
X058,0
V403,0
D210,0
A570,0
P202,0
C168,0
I254,0
Z181,0
J879,0
D005,0
V411,0
D016,0
J844,0
D178,0
J450,0
U585,0
H637,0
M732,0
B249,0
G762,0
Z530,0
C155,0
