city,city_hot_count,city_hot_norm,is_high_activity,city_avg_exp_threshold,city_avg_edu_threshold,city_comprehensive_threshold,avg_monthly_salary_mid,avg_yearly_salary_mid,salary_median,company_count,job_type_count,industry_type_count,avg_experience_rank,avg_education_rank,recruitment_activity_index,activity_grade
F047,25777,1.0,1,7.060286301741863,7.301147017366904,7.180716659554384,14356.120223455018,181354.968848198,10500.0,18970,13947,152,7.060286301741863,8.761376420840284,10.0,
P949,24680,0.9574426814602165,1,7.043679092382496,7.105618584548892,7.074648838465695,13068.158144246354,163796.24051863857,10000.0,18542,13119,154,7.043679092382496,8.526742301458672,9.574426814602164,高活跃度
K115,24600,0.9543391395430034,1,7.024471544715447,7.260128726287264,7.142300135501356,14024.261605691057,177294.71650406503,10500.0,18207,13184,154,7.024471544715447,8.712154471544716,9.543391395430035,高活跃度
F379,24517,0.9511192148038949,1,6.771668638087857,7.010747644491577,6.8912081412897175,8787.367112615737,106728.59868662561,7500.0,17131,14950,154,6.771668638087857,8.412897173389892,9.51119214803895,高活跃度
Y232,24370,0.945416456531016,1,6.889413212966763,6.927438106962112,6.908425659964437,10423.192890849405,129187.71148953632,8500.0,18046,13267,152,6.889413212966763,8.312925728354534,9.45416456531016,高活跃度
B170,23788,0.9228381890832913,1,6.9612409618294935,7.18446976066364,7.072855361246567,11973.881263662352,150479.79023036826,9500.0,16744,12486,151,6.9612409618294935,8.621363712796368,9.228381890832914,高活跃度
Y633,23757,0.9216355665903713,1,6.910258029212443,7.117200544400949,7.013729286806696,9821.151439575704,121629.96746222166,7500.0,17348,14011,152,6.910258029212443,8.540640653281137,9.216355665903713,高活跃度
N806,22959,0.8906777359661714,1,6.893854261945207,7.021066538902681,6.957460400423945,10376.813395618276,128870.57820462564,8500.0,16572,11483,148,6.893854261945207,8.425279846683217,8.906777359661714,中高活跃度
O198,22957,0.8906001474182411,1,6.85634011412641,7.045636044198574,6.950988079162492,8404.942697216535,102951.6807074095,7000.0,16701,12017,150,6.85634011412641,8.454763253038289,8.90600147418241,中高活跃度
S959,22336,0.866508903285875,1,6.841018982808023,6.936597122731615,6.888808052769818,8990.588232002148,110969.66086138968,7500.0,15268,11400,148,6.841018982808023,8.323916547277937,8.66508903285875,中高活跃度
R892,22246,0.8630174186290104,1,6.921379124336959,7.013170907129371,6.967275015733166,9041.75412433696,111221.5610446822,7500.0,15197,12141,152,6.921379124336959,8.415805088555246,8.630174186290104,中高活跃度
V932,22182,0.86053458509524,1,6.787034532503832,7.032090583956963,6.909562558230396,8266.992877107565,100699.85718149852,7000.0,15409,11588,149,6.787034532503832,8.438508700748354,8.6053458509524,中高活跃度
S542,22146,0.8591379912324941,1,6.885532376049851,7.097820524398688,6.9916764502242685,9665.733010475933,119592.2233811975,8000.0,15119,12226,148,6.885532376049851,8.517384629278425,8.59137991232494,中高活跃度
V449,22090,0.856965511890445,1,6.918107741059303,6.912667873849404,6.915387807454353,8681.226765504753,106245.99778180172,7500.0,15863,11434,152,6.918107741059303,8.295201448619284,8.56965511890445,中高活跃度
D022,597,0.023160181557202158,1,6.584589614740368,6.405639307649357,6.495114461194864,5975.268844221106,71910.93132328308,5000.0,593,522,94,6.584589614740368,7.686767169179229,0.23160181557202159,低活跃度
K445,593,0.023005004461341506,1,6.81787521079258,7.0952782462057336,6.956576728499157,8085.883220910624,99010.36256323778,7000.0,572,528,89,6.81787521079258,8.51433389544688,0.23005004461341505,低活跃度
D090,590,0.02288862163944602,1,6.545762711864406,6.206214689265536,6.375988700564972,6170.501694915254,74496.02033898306,5500.0,587,500,83,6.545762711864406,7.447457627118644,0.2288862163944602,低活跃度
A802,530,0.020560965201536253,1,6.554716981132075,6.199685534591195,6.377201257861635,5987.610849056604,72002.27358490566,5000.0,336,461,72,6.554716981132075,7.439622641509434,0.20560965201536252,低活跃度
P050,300,0.011638282189548823,1,6.716666666666667,6.494444444444445,6.605555555555556,6671.9625,80631.88333333333,5500.0,299,287,69,6.716666666666667,7.793333333333333,0.11638282189548822,低活跃度
Y964,300,0.011638282189548823,1,6.7,6.5,6.6,6787.904166666666,82308.18333333333,6000.0,299,283,75,6.7,7.8,0.11638282189548822,低活跃度
F861,300,0.011638282189548823,1,6.65,6.608333333333333,6.629166666666666,8303.504166666668,102045.38333333333,6500.0,300,282,73,6.65,7.93,0.11638282189548822,低活跃度
M120,300,0.011638282189548823,1,6.4366666666666665,6.175,6.305833333333333,5756.58,69137.29333333333,5000.0,300,260,70,6.4366666666666665,7.41,0.11638282189548822,低活跃度
P741,300,0.011638282189548823,1,6.616666666666666,6.111111111111111,6.363888888888889,6685.116666666667,80439.73333333334,5500.0,297,252,73,6.616666666666666,7.333333333333333,0.11638282189548822,低活跃度
L122,300,0.011638282189548823,1,6.326666666666667,6.325,6.325833333333334,5855.35,70454.2,5000.0,298,279,68,6.326666666666667,7.59,0.11638282189548822,低活跃度
J309,300,0.011638282189548823,1,6.58,6.502777777777777,6.541388888888889,6046.645833333333,72723.08333333333,5500.0,299,272,70,6.58,7.803333333333334,0.11638282189548822,低活跃度
Z490,300,0.011638282189548823,1,6.456666666666667,6.269444444444444,6.3630555555555555,5009.73,60488.426666666666,4500.0,297,262,66,6.456666666666667,7.523333333333333,0.11638282189548822,低活跃度
R858,300,0.011638282189548823,1,6.473333333333334,6.163888888888889,6.318611111111111,5076.704166666666,61010.45,4500.0,299,270,64,6.473333333333334,7.3966666666666665,0.11638282189548822,低活跃度
O824,300,0.011638282189548823,1,6.343333333333334,5.986111111111111,6.164722222222222,5892.016666666666,70920.86666666667,4500.0,295,274,67,6.343333333333334,7.183333333333334,0.11638282189548822,低活跃度
O238,300,0.011638282189548823,1,6.54,6.0472222222222225,6.293611111111111,5116.1125,61555.01666666667,4000.0,298,268,64,6.54,7.256666666666667,0.11638282189548822,低活跃度
M935,300,0.011638282189548823,1,6.4,6.0055555555555555,6.2027777777777775,5757.929166666667,69643.48333333334,5000.0,300,275,67,6.4,7.206666666666667,0.11638282189548822,低活跃度
D135,300,0.011638282189548823,1,6.463333333333333,6.205555555555556,6.334444444444444,6364.241666666667,76670.9,5577.5,299,277,75,6.463333333333333,7.446666666666666,0.11638282189548822,低活跃度
H166,300,0.011638282189548823,1,6.713333333333333,6.6,6.656666666666666,7580.575833333333,92431.91,6500.0,300,287,81,6.713333333333333,7.92,0.11638282189548822,低活跃度
F301,300,0.011638282189548823,1,6.733333333333333,6.647222222222222,6.690277777777778,6740.533333333334,81159.73333333334,5500.0,300,272,72,6.733333333333333,7.976666666666667,0.11638282189548822,低活跃度
X910,300,0.011638282189548823,1,6.533333333333333,6.125,6.329166666666667,6047.966666666666,72985.6,5500.0,298,280,71,6.533333333333333,7.35,0.11638282189548822,低活跃度
O445,300,0.011638282189548823,1,6.57,6.330555555555556,6.450277777777777,5320.966666666666,63958.26666666667,4500.0,299,251,68,6.57,7.596666666666667,0.11638282189548822,低活跃度
Y253,300,0.011638282189548823,1,6.533333333333333,6.122222222222223,6.3277777777777775,5654.193333333334,67936.98666666666,5000.0,294,257,69,6.533333333333333,7.346666666666667,0.11638282189548822,低活跃度
K227,299,0.01159948791558366,1,6.538461538461538,6.237458193979933,6.3879598662207355,5874.2851170568565,70697.10702341137,5500.0,299,262,66,6.538461538461538,7.48494983277592,0.11599487915583659,低活跃度
U989,299,0.01159948791558366,1,6.638795986622074,6.2792642140468224,6.459030100334449,6802.179765886288,83360.27090301004,6000.0,293,277,74,6.638795986622074,7.535117056856187,0.11599487915583659,低活跃度
L867,299,0.01159948791558366,1,6.625418060200669,6.192865105908584,6.409141583054626,6999.203177257525,84935.254180602,6000.0,298,277,68,6.625418060200669,7.431438127090301,0.11599487915583659,低活跃度
D575,299,0.01159948791558366,1,6.595317725752508,6.2207357859531776,6.408026755852843,7942.692307692308,95956.12040133779,7000.0,299,282,74,6.595317725752508,7.464882943143813,0.11599487915583659,低活跃度
U553,299,0.01159948791558366,1,6.705685618729097,6.410256410256411,6.557971014492753,6187.261705685619,74534.76588628763,5500.0,299,284,73,6.705685618729097,7.6923076923076925,0.11599487915583659,低活跃度
E333,299,0.01159948791558366,1,6.896321070234114,7.051282051282052,6.973801560758083,10844.180602006689,135613.44481605352,9000.0,298,293,76,6.896321070234114,8.461538461538462,0.11599487915583659,低活跃度
N430,299,0.01159948791558366,1,6.488294314381271,6.192865105908584,6.340579710144928,6100.785953177257,73403.41137123745,5500.0,296,262,69,6.488294314381271,7.431438127090301,0.11599487915583659,低活跃度
R716,299,0.01159948791558366,1,6.892976588628763,6.767001114827202,6.8299888517279825,8953.984113712375,108656.83946488294,7500.0,295,281,81,6.892976588628763,8.120401337792643,0.11599487915583659,低活跃度
F410,299,0.01159948791558366,1,6.705685618729097,6.003344481605351,6.354515050167224,6283.331939799331,75973.5618729097,5500.0,291,279,67,6.705685618729097,7.2040133779264215,0.11599487915583659,低活跃度
E180,299,0.01159948791558366,1,6.702341137123746,6.329431438127091,6.515886287625418,6724.147157190636,81333.57859531773,6000.0,299,279,72,6.702341137123746,7.595317725752508,0.11599487915583659,低活跃度
I227,299,0.01159948791558366,1,6.678929765886288,6.6638795986622075,6.671404682274248,6579.26839464883,79417.77591973245,5500.0,291,282,73,6.678929765886288,7.996655518394649,0.11599487915583659,低活跃度
O910,299,0.01159948791558366,1,6.508361204013378,6.201226309921962,6.35479375696767,6640.848662207358,80715.26755852843,5500.0,284,265,66,6.508361204013378,7.441471571906354,0.11599487915583659,低活跃度
X990,299,0.01159948791558366,1,6.7959866220735785,6.348940914158305,6.572463768115942,8610.772575250836,105603.51839464883,7500.0,298,282,83,6.7959866220735785,7.618729096989966,0.11599487915583659,低活跃度
A655,299,0.01159948791558366,1,6.558528428093646,6.20680044593088,6.382664437012263,6599.171404682274,79352.26421404682,5500.0,294,272,76,6.558528428093646,7.448160535117057,0.11599487915583659,低活跃度
