city,city_avg_exp_threshold,city_avg_edu_threshold,city_comprehensive_threshold
H610,7.275167785234899,7.891498881431768,7.583333333333334
J450,7.1875,7.747395833333334,7.467447916666667
F047,7.060286301741863,7.301147017366904,7.180716659554384
K115,7.024471544715447,7.260128726287264,7.142300135501356
P949,7.043679092382496,7.105618584548892,7.074648838465695
B170,6.9612409618294935,7.18446976066364,7.072855361246567
Y633,6.910258029212443,7.117200544400949,7.013729286806696
S759,7.111888111888112,6.879370629370629,6.995629370629371
S542,6.885532376049851,7.097820524398688,6.9916764502242685
E333,6.896321070234114,7.051282051282052,6.973801560758083
R892,6.921379124336959,7.013170907129371,6.967275015733166
N806,6.893854261945207,7.021066538902681,6.957460400423945
K445,6.81787521079258,7.0952782462057336,6.956576728499157
O198,6.85634011412641,7.045636044198574,6.950988079162492
V449,6.918107741059303,6.912667873849404,6.915387807454353
V932,6.787034532503832,7.032090583956963,6.909562558230396
Y232,6.889413212966763,6.927438106962112,6.908425659964437
F379,6.771668638087857,7.010747644491577,6.8912081412897175
S959,6.841018982808023,6.936597122731615,6.888808052769818
R716,6.892976588628763,6.767001114827202,6.8299888517279825
S732,6.877966101694915,6.711864406779661,6.794915254237288
G762,6.95,6.541666666666667,6.745833333333333
S295,6.774410774410774,6.711560044893378,6.742985409652077
V838,6.674496644295302,6.803691275167785,6.739093959731544
F301,6.733333333333333,6.647222222222222,6.690277777777778
V436,6.7725752508361206,6.596989966555184,6.684782608695652
Y495,6.675675675675675,6.6891891891891895,6.6824324324324325
D005,6.82258064516129,6.525537634408602,6.674059139784947
I227,6.678929765886288,6.6638795986622075,6.671404682274248
I730,6.787162162162162,6.554054054054054,6.670608108108108
G129,6.751677852348993,6.588366890380314,6.670022371364653
I254,6.907801418439717,6.430260047281323,6.66903073286052
E551,6.721476510067114,6.613534675615213,6.667505592841164
H166,6.713333333333333,6.6,6.656666666666666
K535,6.688963210702341,6.622073578595318,6.655518394648829
S303,6.711111111111111,6.598765432098766,6.654938271604938
I606,6.665551839464883,6.6164994425864,6.641025641025641
J719,6.665551839464883,6.605351170568562,6.635451505016722
F861,6.65,6.608333333333333,6.629166666666666
S655,6.640677966101695,6.6158192090395485,6.628248587570622
H800,6.752941176470588,6.496732026143791,6.624836601307189
D672,6.694630872483222,6.546420581655481,6.620525727069351
P050,6.716666666666667,6.494444444444445,6.605555555555556
D210,6.776785714285714,6.428571428571429,6.602678571428571
Y964,6.7,6.5,6.6
A181,6.874538745387454,6.325338253382534,6.599938499384994
B733,6.709342560553633,6.482122260668973,6.595732410611304
J844,6.873239436619718,6.302816901408451,6.588028169014085
N821,6.691275167785235,6.4709172259507834,6.5810961968680095
U038,6.718120805369128,6.440156599552573,6.579138702460851
O525,6.653061224489796,6.505102040816326,6.579081632653061
C023,6.562937062937063,6.590909090909091,6.576923076923077
A861,6.620805369127517,6.532438478747204,6.576621923937361
P258,6.591973244147157,6.557971014492753,6.5749721293199554
X990,6.7959866220735785,6.348940914158305,6.572463768115942
G496,6.741610738255034,6.401006711409396,6.571308724832215
I529,6.6644295302013425,6.459731543624161,6.5620805369127515
P202,6.683417085427136,6.436348408710217,6.559882747068677
U553,6.705685618729097,6.410256410256411,6.557971014492753
L599,6.647651006711409,6.468120805369128,6.557885906040268
L847,6.718120805369128,6.39261744966443,6.555369127516778
S297,6.762962962962963,6.345679012345679,6.554320987654322
P512,6.833333333333333,6.255787037037037,6.544560185185185
U192,6.72972972972973,6.354166666666666,6.541948198198199
J309,6.58,6.502777777777777,6.541388888888889
I057,6.60738255033557,6.470917225950783,6.539149888143177
P773,6.798657718120805,6.277964205816555,6.538310961968681
C168,6.679012345679013,6.388888888888889,6.533950617283951
P357,6.489932885906041,6.577181208053691,6.533557046979865
C324,6.714285714285714,6.34004884004884,6.527167277167277
X058,6.761702127659574,6.287234042553192,6.524468085106383
K845,6.583050847457627,6.46045197740113,6.521751412429379
A195,6.658181818181818,6.384848484848485,6.5215151515151515
L504,6.615384615384615,6.424191750278707,6.519788182831661
N386,6.583892617449664,6.454138702460851,6.519015659955257
Y528,6.597315436241611,6.437360178970917,6.517337807606264
A155,6.614093959731544,6.4205816554809845,6.517337807606264
E180,6.702341137123746,6.329431438127091,6.515886287625418
T061,6.6610738255033555,6.367449664429531,6.514261744966443
Z731,6.668918918918919,6.354166666666666,6.511542792792793
Z087,6.557046979865772,6.456935123042506,6.506991051454138
L088,6.565656565656566,6.430976430976431,6.498316498316498
D022,6.584589614740368,6.405639307649357,6.495114461194864
A561,6.577181208053691,6.412192393736017,6.494686800894855
Q095,6.60738255033557,6.375838926174497,6.491610738255034
Z196,6.6610738255033555,6.317114093959732,6.489093959731544
G887,6.5369127516778525,6.440156599552573,6.488534675615212
I485,6.647457627118644,6.327683615819209,6.487570621468926
S500,6.733108108108108,6.241554054054054,6.487331081081081
S198,6.675767918088737,6.294084186575654,6.484926052332195
K132,6.585858585858586,6.3832772166105505,6.484567901234568
Q715,6.5719063545150505,6.396321070234114,6.484113712374582
S808,6.590443686006826,6.368031854379977,6.479237770193402
I784,6.575757575757576,6.380471380471381,6.478114478114478
F469,6.570945945945946,6.385135135135135,6.47804054054054
Z181,6.695652173913044,6.256038647342995,6.475845410628019
J884,6.535117056856187,6.415830546265329,6.475473801560758
Q985,6.638225255972697,6.311149032992037,6.474687144482366
V411,6.764705882352941,6.1834733893557425,6.474089635854342
U827,6.576388888888889,6.3686342592592595,6.4725115740740735
D821,6.516891891891892,6.427364864864865,6.472128378378378
Z347,6.596551724137931,6.347701149425287,6.472126436781609
S413,6.4673539518900345,6.463344788087056,6.465349369988545
H187,6.493288590604027,6.437360178970917,6.465324384787472
K816,6.577181208053691,6.353467561521254,6.465324384787472
K389,6.539249146757679,6.390784982935154,6.465017064846417
Z824,6.718120805369128,6.210850111856823,6.464485458612976
D460,6.651724137931034,6.272988505747127,6.4623563218390805
L086,6.533783783783784,6.390765765765766,6.462274774774775
M060,6.574324324324325,6.348536036036037,6.46143018018018
U989,6.638795986622074,6.2792642140468224,6.459030100334449
E478,6.6375838926174495,6.266778523489933,6.452181208053691
O445,6.57,6.330555555555556,6.450277777777777
B470,6.68135593220339,6.2175141242937855,6.449435028248588
R761,6.5476190476190474,6.340702947845806,6.444160997732426
R105,6.423728813559322,6.463276836158192,6.443502824858757
K628,6.660958904109589,6.2243150684931505,6.44263698630137
T182,6.580536912751678,6.303131991051454,6.441834451901566
V883,6.555932203389831,6.322033898305085,6.438983050847457
N214,6.459731543624161,6.409395973154362,6.434563758389261
V852,6.551839464882943,6.312709030100335,6.432274247491639
P623,6.635135135135135,6.2274774774774775,6.431306306306307
P248,6.604026845637584,6.2555928411633115,6.429809843400447
S213,6.593959731543624,6.263982102908278,6.428970917225952
O641,6.52027027027027,6.337274774774775,6.4287725225225225
O621,6.633898305084746,6.214689265536723,6.424293785310735
B055,6.511945392491468,6.3310580204778155,6.421501706484642
P851,6.6858108108108105,6.1542792792792795,6.420045045045045
X916,6.587248322147651,6.252796420581655,6.420022371364653
V404,6.510135135135135,6.328828828828828,6.419481981981982
Y255,6.577181208053691,6.261185682326622,6.419183445190157
B729,6.60472972972973,6.230292792792793,6.417511261261261
O482,6.590604026845638,6.241610738255034,6.416107382550336
L726,6.567114093959732,6.263982102908278,6.415548098434004
W823,6.610738255033557,6.2192393736017895,6.414988814317674
T818,6.508474576271187,6.3192090395480225,6.413841807909605
Y434,6.672297297297297,6.1542792792792795,6.413288288288288
J565,6.426621160409557,6.399317406143345,6.412969283276451
P559,6.628158844765343,6.197352587244284,6.412755716004813
Y770,6.552542372881356,6.268361581920904,6.41045197740113
L867,6.625418060200669,6.192865105908584,6.409141583054626
D575,6.595317725752508,6.2207357859531776,6.408026755852843
J674,6.535836177474403,6.265642775881683,6.400739476678043
H879,6.550335570469799,6.25,6.400167785234899
X798,6.541095890410959,6.258561643835616,6.399828767123288
Z251,6.564912280701755,6.233918128654971,6.399415204678363
J470,6.428082191780822,6.36986301369863,6.398972602739726
Y531,6.523648648648648,6.2725225225225225,6.398085585585585
X066,6.6632996632996635,6.130751964085297,6.397025813692481
H696,6.51360544217687,6.278344671201814,6.395975056689343
N780,6.455479452054795,6.335616438356165,6.39554794520548
O354,6.54074074074074,6.246913580246914,6.393827160493827
Z885,6.4865771812080535,6.300335570469799,6.393456375838926
P193,6.646464646464646,6.139169472502806,6.392817059483726
R246,6.654676258992806,6.127098321342926,6.390887290167866
L518,6.501672240802676,6.2792642140468224,6.3904682274247495
I345,6.579661016949153,6.200564971751413,6.390112994350282
K227,6.538461538461538,6.237458193979933,6.3879598662207355
W665,6.505154639175258,6.268613974799542,6.386884306987399
E027,6.508417508417509,6.262626262626263,6.385521885521886
G905,6.454849498327759,6.315496098104793,6.385172798216277
M247,6.628378378378378,6.140202702702703,6.38429054054054
R387,6.548951048951049,6.217948717948718,6.383449883449884
B826,6.550335570469799,6.216442953020135,6.383389261744966
Y359,6.496621621621622,6.269707207207207,6.383164414414415
A655,6.558528428093646,6.20680044593088,6.382664437012263
R141,6.380471380471381,6.38327721661055,6.381874298540965
E057,6.58445945945946,6.176801801801801,6.380630630630631
C354,6.437288135593221,6.322033898305085,6.379661016949153
H637,6.64,6.116666666666666,6.378333333333334
N273,6.551020408163265,6.204648526077098,6.377834467120181
A802,6.554716981132075,6.199685534591195,6.377201257861635
D090,6.545762711864406,6.206214689265536,6.375988700564972
Z450,6.479591836734694,6.267006802721088,6.3732993197278915
Q598,6.442176870748299,6.303854875283446,6.3730158730158735
X232,6.626262626262626,6.119528619528619,6.372895622895623
B937,6.578397212543554,6.167247386759582,6.372822299651568
V365,6.439597315436242,6.30592841163311,6.372762863534676
B474,6.608108108108108,6.137387387387387,6.372747747747748
D490,6.488215488215488,6.257014590347923,6.3726150392817065
J351,6.451178451178452,6.293490460157127,6.372334455667788
R635,6.537162162162162,6.204954954954955,6.371058558558558
E416,6.547297297297297,6.190878378378378,6.369087837837838
Y031,6.45819397993311,6.2792642140468224,6.368729096989966
D475,6.622895622895623,6.113916947250281,6.368406285072952
K909,6.54054054054054,6.190878378378378,6.36570945945946
I219,6.574829931972789,6.156462585034014,6.365646258503402
K641,6.629370629370629,6.101398601398602,6.365384615384615
P741,6.616666666666666,6.111111111111111,6.363888888888889
M108,6.414141414141414,6.313131313131313,6.363636363636363
C326,6.584192439862543,6.142611683848798,6.36340206185567
Z490,6.456666666666667,6.269444444444444,6.3630555555555555
F958,6.570945945945946,6.1542792792792795,6.362612612612613
U289,6.526845637583893,6.196868008948546,6.36185682326622
U125,6.441077441077441,6.282267115600448,6.361672278338945
L161,6.530405405405405,6.190878378378378,6.360641891891892
E956,6.5423728813559325,6.175141242937853,6.358757062146893
R083,6.405498281786942,6.308705612829324,6.357101947308133
K294,6.486486486486487,6.224662162162162,6.355574324324325
Q531,6.470790378006873,6.2399770904925544,6.355383734249714
O576,6.58445945945946,6.126126126126126,6.355292792792793
B873,6.513513513513513,6.196509009009009,6.355011261261261
O910,6.508361204013378,6.201226309921962,6.35479375696767
H442,6.575757575757576,6.133557800224467,6.354657687991021
V625,6.4576271186440675,6.251412429378531,6.354519774011299
F410,6.705685618729097,6.003344481605351,6.354515050167224
D762,6.606060606060606,6.099887766554433,6.352974186307519
R230,6.587628865979381,6.116838487972508,6.352233676975945
B608,6.61986301369863,6.08162100456621,6.3507420091324205
V403,6.306666666666667,6.392592592592592,6.34962962962963
S764,6.47972972972973,6.219031531531531,6.349380630630631
R885,6.558922558922559,6.139169472502806,6.349046015712682
P711,6.50709219858156,6.190898345153664,6.348995271867612
Q163,6.572390572390573,6.125140291806959,6.348765432098765
G691,6.501694915254237,6.194915254237288,6.348305084745762
B249,6.714285714285714,5.982142857142857,6.348214285714286
Q027,6.544169611307421,6.148409893992933,6.3462897526501765
D016,6.571428571428571,6.120448179271709,6.34593837535014
D906,6.5353535353535355,6.156004489337822,6.34567901234568
V339,6.493288590604027,6.196868008948546,6.3450782997762865
D051,6.530405405405405,6.157094594594595,6.34375
B383,6.5476190476190474,6.139455782312925,6.343537414965986
P353,6.454237288135594,6.231638418079096,6.342937853107345
V829,6.609427609427609,6.074635241301908,6.342031425364758
A295,6.427586206896552,6.255747126436781,6.341666666666667
N430,6.488294314381271,6.192865105908584,6.340579710144928
O309,6.448763250883392,6.230859835100118,6.339811542991756
P713,6.565656565656566,6.111111111111111,6.338383838383838
G022,6.5646258503401365,6.108276643990929,6.336451247165533
I652,6.540268456375839,6.1297539149888145,6.335011185682326
C070,6.454545454545454,6.214927048260382,6.334736251402918
D135,6.463333333333333,6.205555555555556,6.334444444444444
V996,6.510948905109489,6.155717761557178,6.333333333333333
S124,6.516891891891892,6.148648648648648,6.33277027027027
M697,6.546075085324232,6.117747440273037,6.331911262798635
B623,6.436860068259386,6.222980659840728,6.329920364050057
X910,6.533333333333333,6.125,6.329166666666667
D767,6.561224489795919,6.096938775510204,6.329081632653061
Y253,6.533333333333333,6.122222222222223,6.3277777777777775
G065,6.4727891156462585,6.181972789115647,6.3273809523809526
G282,6.488215488215488,6.164421997755331,6.32631874298541
L122,6.326666666666667,6.325,6.325833333333334
K571,6.365771812080537,6.2807606263982105,6.323266219239374
Z581,6.4727891156462585,6.173469387755102,6.3231292517006805
B674,6.516891891891892,6.128941441441442,6.322916666666666
J722,6.48639455782313,6.159297052154194,6.322845804988662
D178,6.462686567164179,6.181592039800996,6.322139303482587
X536,6.414141414141414,6.228956228956229,6.321548821548822
O323,6.470790378006873,6.171248568155784,6.321019473081329
V079,6.542087542087542,6.097081930415263,6.319584736251403
W657,6.516891891891892,6.120495495495495,6.318693693693693
R858,6.473333333333334,6.163888888888889,6.318611111111111
S503,6.406040268456376,6.230425055928412,6.318232662192393
B574,6.489864864864865,6.145833333333334,6.3178490990990985
D832,6.482758620689655,6.152298850574713,6.317528735632184
U072,6.590443686006826,6.040955631399317,6.315699658703072
L802,6.493243243243243,6.134572072072072,6.313907657657658
Y788,6.442508710801394,6.184668989547038,6.313588850174216
V754,6.476027397260274,6.144406392694064,6.310216894977168
V042,6.506756756756757,6.11204954954955,6.309403153153153
A050,6.469798657718121,6.1437360178970915,6.306767337807607
P543,6.4713804713804715,6.1419753086419755,6.3066778900112235
M120,6.4366666666666665,6.175,6.305833333333333
Y784,6.453608247422681,6.156930126002291,6.3052691867124855
N164,6.434343434343434,6.175645342312009,6.304994388327722
T766,6.491582491582491,6.11672278338945,6.304152637485971
L977,6.447457627118644,6.15819209039548,6.302824858757062
N476,6.441077441077441,6.164421997755331,6.302749719416386
F554,6.493243243243243,6.11204954954955,6.302646396396396
M101,6.476027397260274,6.127283105022832,6.301655251141552
N737,6.569491525423729,6.031073446327684,6.300282485875706
H574,6.467576791808874,6.131968145620023,6.299772468714448
H913,6.455479452054795,6.138698630136986,6.297089041095891
W805,6.498305084745763,6.090395480225989,6.294350282485875
