experience_rank,固定年薪制,年终奖制,高绩效制
1,1.0,0.0,0.0
2,1.0,0.0,0.0
3,1.0,0.0,0.0
4,0.9050543697140556,0.07561417639951672,0.019331453886427707
5,0.9464448307259333,0.049913086665011173,0.0036420826090555417
6,0.9370802959640029,0.05368792483280222,0.00923177920319488
7,0.8950328633060196,0.0940368300663057,0.010930306627674668
8,0.8105826747447836,0.15201547309500327,0.03740185216021314
9,0.7487562189054726,0.1793698175787728,0.07187396351575456
10,0.7918293000260214,0.13322924798334634,0.07494145199063232
