company_type,industry_hot_count,industry_hot_norm,is_high_activity
type_BLfSmG,21573,1.0,1
type_lOdYUb,21084,0.9773327770824642,1
type_uTAWZv,19675,0.9120196541973763,1
type_qrSFSq,18781,0.8705789644462986,1
type_CbBLwi,13681,0.6341723450609559,1
type_fFlUqG,13390,0.6206832614842628,1
type_yZblEo,12863,0.5962545774811107,1
type_qGLNuz,12278,0.569137347610439,1
type_YOHpQY,10930,0.5066518333101562,1
type_HfjYoW,10687,0.49538775321003103,1
type_qhLBWb,9187,0.4258563945672832,1
type_vrMpBQ,8471,0.39266675937514484,1
type_lYwbWD,8044,0.3728734992815093,1
type_PCcrub,7843,0.36355629722338106,1
type_ZcPYrP,7685,0.356232327446345,1
type_qnHODO,7648,0.3545172205998239,1
