job_title,job_avg_experience_rank,job_experience_threshold,job_avg_education_rank,job_education_threshold,job_comprehensive_threshold,job_hot_count
0606a2de76e3a0090170ff74d1d031ecbY,10.0,10.0,12.0,10.0,10.0,1
fd7f8570f7804a061fc8e34f9c0df495ro,10.0,10.0,12.0,10.0,10.0,1
98fb374dd49fa1a011524cccb3f7e2fbaF,10.0,10.0,12.0,10.0,10.0,1
6fc9b4df82655a7214ec721d777fae07AJ,10.0,10.0,12.0,10.0,10.0,1
a31757e7f72985c5d849adf9527a4c28jq,10.0,10.0,12.0,10.0,10.0,1
367e4b8e1869ae67bdd7e232a3eeeabbwJ,10.0,10.0,12.0,10.0,10.0,1
5c61cda2aebc1cbabe34330d2b9e2775gr,10.0,10.0,12.0,10.0,10.0,1
ac9f534a5e27fcf42c60dcb88bcd2d7bNH,10.0,10.0,12.0,10.0,10.0,1
be8090170f520fb0f31b88c40b04a4c3qn,10.0,10.0,12.0,10.0,10.0,1
aabdac19fa70a13710fc6c1f84b62ce3Bm,10.0,10.0,12.0,10.0,10.0,1
b81fb517c0ee86883ec93bf96ef98eafuT,10.0,10.0,12.0,10.0,10.0,1
ecf52e70f54bf7579c94a0a1113046d4Al,10.0,10.0,12.0,10.0,10.0,1
ae2fcb680e577837892875631c1381e9xV,10.0,10.0,12.0,10.0,10.0,1
823acd3d366d4354d436e80eae2481aaoG,10.0,10.0,12.0,10.0,10.0,1
85100ea14e46d67801a41c7607f005b6jX,10.0,10.0,12.0,10.0,10.0,1
a76cf72d1fb6e5430a8de52ba41c14ecfk,10.0,10.0,12.0,10.0,10.0,1
7a751535b518ebab2f67d34e1410d580Sc,10.0,10.0,12.0,10.0,10.0,1
18afba1ffcae1564e07e9ac963a91708Vy,10.0,10.0,12.0,10.0,10.0,1
da5df6647162925ca7fa86aade9c2783dF,10.0,10.0,12.0,10.0,10.0,1
9b8b2ff034e7550ab39b71b16e5905f9HT,10.0,10.0,11.0,9.166666666666666,9.583333333333332,2
ff8d40939d9184752e3c4edc571e2968DD,10.0,10.0,11.0,9.166666666666666,9.583333333333332,1
2ab69d6e17dcaacfed97a19f2683530fOY,10.0,10.0,11.0,9.166666666666666,9.583333333333332,1
708bf137c01eca5c8c93369308a8c1bcOj,10.0,10.0,11.0,9.166666666666666,9.583333333333332,1
