company_type,industry_hot_count,industry_hot_norm,is_high_activity
type_BLfSmG,21573,1.0,1
type_lOdYUb,21084,0.9773327770824642,1
type_uTAWZv,19675,0.9120196541973763,1
type_qrSFSq,18781,0.8705789644462986,1
type_CbBLwi,13681,0.6341723450609559,1
type_fFlUqG,13390,0.6206832614842628,1
type_yZblEo,12863,0.5962545774811107,1
type_qGLNuz,12278,0.569137347610439,1
type_YOHpQY,10930,0.5066518333101562,1
type_HfjYoW,10687,0.49538775321003103,1
type_qhLBWb,9187,0.4258563945672832,1
type_vrMpBQ,8471,0.39266675937514484,1
type_lYwbWD,8044,0.3728734992815093,1
type_PCcrub,7843,0.36355629722338106,1
type_ZcPYrP,7685,0.356232327446345,1
type_qnHODO,7648,0.3545172205998239,1
type_HcIRlZ,7338,0.3401474064803226,0
type_XqvUzw,7290,0.3379224030037547,0
type_BmzsHA,7209,0.3341677096370463,0
type_lwxCGv,6558,0.30399109998609375,0
type_SNJDAt,6333,0.2935613961896815,0
type_pmgfTy,6258,0.29008482825754417,0
type_FwqxZf,5740,0.26607333240624853,0
type_xjtctu,5600,0.2595837389329254,0
type_uipXwT,5593,0.25925925925925924,0
type_ruszQK,5326,0.24688267742085013,0
type_QbeiZo,5247,0.24322069253233208,0
type_jIzdnZ,4960,0.22991702591201965,0
type_ZIwauc,4825,0.22365920363417235,0
type_FdhMSx,4769,0.2210633662448431,0
type_IWPTYt,4691,0.2174477355954202,0
type_irYhZM,4593,0.21290502016409402,0
type_GXFMik,4454,0.20646178092986603,0
type_BPRUkx,4354,0.2018263570203495,0
type_aAuygy,4235,0.19631020256802484,0
type_MmKysX,3908,0.1811523663839058,0
type_plzlSo,3903,0.18092059518842998,0
type_fvIHbx,3836,0.1778148611690539,0
type_fWnADK,3808,0.1765169424743893,0
type_UUMBcC,3653,0.16933203541463868,0
type_xfFBgF,3528,0.16353775552774302,0
type_cPyqFN,3504,0.16242525378945905,0
type_LPhcvI,3330,0.1543596161869003,0
type_Hzhxlm,3315,0.1536643026004728,0
type_xvJgzl,3258,0.1510221109720484,0
type_xkGnwk,3009,0.13947990543735225,0
type_MhfbrD,2988,0.13850646641635378,0
type_BByMdf,2942,0.13637417141797617,0
type_MDYYNy,2931,0.13586427478792937,0
type_birMPO,2658,0.12320956751494924,0
type_xKVDuy,2648,0.12274602512399758,0
type_gtGYMQ,2607,0.12084550132109581,0
type_PanQpo,2579,0.11954758262643118,0
type_rJQdMX,2334,0.1081907940481157,0
type_NKZQoO,2302,0.10670745839707041,0
type_bMfEOy,2243,0.10397255829045567,0
type_bMIeXj,2222,0.10299911926945719,0
type_kCfcsh,2165,0.10035692764103277,0
type_vOhwEs,2136,0.09901265470727298,0
type_MPxoTH,2116,0.09808556992536968,0
type_YgqIFe,1824,0.08455013210958143,0
type_oWxwZg,1745,0.08088814722106337,0
type_DiAZyX,1642,0.07611366059426135,0
type_QHXrbv,1480,0.06860427386084457,0
type_DNepgK,1478,0.06851156538265424,0
type_YwwqZR,1415,0.06559124831965883,0
type_qkdgGE,1412,0.06545218560237334,0
type_AWbXKM,1312,0.06081676169285681,0
type_iQQmHS,1309,0.06067769897557131,0
type_OGhnqx,1236,0.05729383952162425,0
type_TCHRUI,1168,0.054141751263153015,0
type_cTQtSq,1160,0.053770917350391696,0
type_HtAHwu,1149,0.05326102072034487,0
type_SgStOb,1131,0.052426644416631904,0
type_oAXCMx,1101,0.051036017243776946,0
type_EALDJm,1019,0.04723496963797339,0
type_cVhkbn,976,0.045241737356881286,0
type_PkWZvJ,908,0.04208964909841005,0
type_HfKfzV,889,0.04120891855560191,0
type_sfleWH,860,0.03986464562184212,0
type_rEfHmL,834,0.03865943540536782,0
type_amzGIA,798,0.03699068279794187,0
type_fnLTiU,771,0.03573911834237241,0
type_EQAguk,757,0.035090158995040095,0
type_WdjlyG,757,0.035090158995040095,0
type_sDXgXU,696,0.032262550410235014,0
type_wiXJCA,694,0.03216984193204468,0
type_kwzqET,694,0.03216984193204468,0
type_oWfbru,670,0.03105734019376072,0
type_PkZpfa,640,0.02966671302090576,0
type_vjgYNw,611,0.02832244008714597,0
type_RjsWZd,596,0.02762712650071849,0
type_ZnqLAd,583,0.027024521392481342,0
type_NzejLx,580,0.026885458675195848,0
type_YbtQWp,546,0.025309414545960227,0
type_jImIvP,515,0.023872433134010104,0
type_kiIJXj,513,0.023779724655819776,0
type_BtQkpd,508,0.023547953460343947,0
type_lIjlkP,469,0.021740138135632504,0
type_fVZeOr,450,0.020859407592824362,0
type_qtmmYS,399,0.018495341398970935,0
type_hNPaoQ,380,0.017614610856162796,0
