company_type,industry_avg_exp_threshold,industry_avg_edu_threshold,industry_comprehensive_threshold
type_CkxARz,7.557768924302789,7.865205843293493,7.711487383798142
type_cVhkbn,7.359631147540983,7.908982240437159,7.634306693989072
type_yydJdA,7.516666666666667,7.743055555555556,7.629861111111111
type_CbBLwi,7.293107229003728,7.831786175474503,7.562446702239116
type_ZnqLAd,7.322469982847341,7.788736420811894,7.5556032018296175
type_lOOuyw,7.454545454545454,7.59469696969697,7.524621212121213
type_NzejLx,7.222413793103448,7.821839080459771,7.52212643678161
type_IWPTYt,7.29354082285227,7.739465643430683,7.516503233141478
type_fnLTiU,7.377431906614786,7.650237786424557,7.513834846519671
type_PkWZvJ,7.04295154185022,7.983663729809105,7.513307635829663
type_MpUmNW,7.4,7.555555555555556,7.477777777777778
type_EQAguk,7.368560105680317,7.575957727873184,7.472258916776751
type_PnQIgn,7.041958041958042,7.896270396270396,7.46911421911422
type_cTQtSq,7.2043103448275865,7.711206896551724,7.457758620689655
type_RjsWZd,7.402684563758389,7.502796420581656,7.452740492170023
type_oSChwS,7.0,7.862318840579711,7.431159420289856
type_fWnADK,7.245798319327731,7.609637605042017,7.427717962184874
type_dZRlFC,7.239583333333333,7.578125,7.408854166666667
type_tjGjDL,7.238532110091743,7.561162079510704,7.399847094801223
type_SkCZro,6.764350453172206,8.028700906344412,7.396525679758308
type_ZIwauc,7.190880829015544,7.59706390328152,7.393972366148533
type_xvJgzl,7.022713321055862,7.761407816656436,7.39206056885615
type_OGhnqx,6.782362459546926,7.996224379719526,7.389293419633225
type_EguSJg,7.053231939163498,7.690114068441065,7.3716730038022815
type_NUgLOO,7.256578947368421,7.478070175438597,7.367324561403509
type_YbtQWp,7.258241758241758,7.4664224664224665,7.362332112332113
type_xKVDuy,7.259441087613293,7.456885699899296,7.3581633937562945
type_cgjjyf,7.1679389312977095,7.5349872773536894,7.3514631043257
type_BmzsHA,7.09973644056041,7.5857724141119895,7.3427544273362
type_QHXrbv,7.194594594594594,7.488175675675675,7.341385135135135
type_NqSxHM,7.324324324324325,7.336711711711711,7.330518018018019
type_vQQLek,7.119047619047619,7.519841269841271,7.319444444444445
type_kCYTOy,7.253807106598985,7.373096446700508,7.313451776649746
type_UUMBcC,7.2064056939501775,7.403275846336345,7.304840770143262
type_hjdslw,7.273311897106109,7.323151125401929,7.298231511254019
type_hNPaoQ,7.144736842105263,7.449561403508772,7.297149122807018
type_vLcQvm,7.11,7.475,7.2925
type_MmKysX,7.0734390992835205,7.5078897987035145,7.2906644489935175
type_PeStkD,6.75,7.812500000000001,7.28125
type_DiAZyX,7.035931790499391,7.525883069427527,7.2809074299634595
type_fVZeOr,6.857777777777778,7.690740740740741,7.27425925925926
type_lIjlkP,6.925373134328358,7.620824449182659,7.273098791755508
type_oWfbru,7.126865671641791,7.395522388059701,7.2611940298507465
type_qkdgGE,6.708923512747876,7.802762039660057,7.255842776203966
type_BLfSmG,7.055671441153294,7.449048965527898,7.252360203340596
type_sfleWH,6.863953488372093,7.627906976744186,7.245930232558139
type_PkZpfa,7.2390625,7.23046875,7.234765625
type_IkixkP,6.75,7.708333333333334,7.229166666666667
type_NKZQoO,7.006516072980017,7.434115262090935,7.220315667535477
type_cPyqFN,7.0368150684931505,7.402492389649924,7.2196537290715375
type_bMfEOy,7.222024074899688,7.206865804725814,7.214444939812751
type_MPxoTH,6.955576559546314,7.469281663516068,7.212429111531191
type_btoDfW,7.089041095890411,7.305936073059361,7.197488584474887
type_ZcPYrP,6.997787898503578,7.33094773368033,7.164367816091954
type_rEfHmL,6.691846522781774,7.624900079936052,7.158373301358914
type_sDXgXU,6.6451149425287355,7.660440613026821,7.152777777777778
type_sIBWvi,7.105263157894737,7.192982456140351,7.1491228070175445
type_HtAHwu,6.70147954743255,7.581230055120395,7.141354801276472
type_lYwbWD,7.237319741422178,7.040962207856787,7.139140974639483
type_ISPdob,7.333333333333333,6.9444444444444455,7.138888888888889
type_nQwYnp,7.1645569620253164,7.10970464135021,7.137130801687764
type_WHjRBO,6.85,7.416666666666667,7.133333333333335
type_vrMpBQ,6.862826112619525,7.387164049895723,7.124995081257624
type_SZBUrQ,7.017543859649122,7.192982456140351,7.105263157894737
type_plzlSo,6.590315142198309,7.605047399436331,7.09768127081732
type_pmgfTy,6.782518376478108,7.406919143496324,7.094718759987217
type_jIzdnZ,6.919758064516129,7.266801075268818,7.093279569892474
type_QbeiZo,6.926243567753001,7.259068674163014,7.092656120958009
type_IFmZvL,6.855555555555555,7.305555555555555,7.080555555555556
type_yZDEvF,7.127659574468085,7.024822695035461,7.076241134751774
type_HcIRlZ,7.192014172799128,6.9520532388480065,7.072033705823567
type_ZjNQpn,6.65625,7.473958333333333,7.065104166666667
type_birMPO,7.144469525959368,6.974228743416102,7.059349134687735
type_qtmmYS,7.082706766917293,7.000835421888054,7.041771094402674
type_xkGnwk,7.136257892987704,6.91647280381079,7.026365348399247
type_WoMhkt,7.0,7.048954895489549,7.024477447744776
type_WdjlyG,6.779392338177015,7.202774108322325,6.99108322324967
type_kiIJXj,6.557504873294347,7.422027290448343,6.989766081871345
type_xjtctu,7.0251785714285715,6.946875,6.9860267857142855
type_QZOppi,6.706140350877193,7.24780701754386,6.9769736842105265
type_SNJDAt,6.871624822359071,7.077740933733355,6.974682878046214
type_MDYYNy,6.79870351415899,7.139770271807119,6.969236892983056
type_SgStOb,6.89920424403183,7.0269672855879755,6.963085764809903
type_lOdYUb,6.545342439764751,7.3756956301777015,6.9605190349712265
type_euNhiG,6.902578796561604,7.008118433619867,6.955348615090736
type_LPhcvI,6.7294294294294295,7.151901901901901,6.940665665665666
type_gtGYMQ,6.772535481396241,7.077100115074798,6.9248177982355195
type_MhfbrD,6.729585006693441,7.114290495314592,6.921937751004016
type_jImIvP,6.87378640776699,6.919093851132686,6.8964401294498385
type_bMIeXj,6.6683168316831685,7.105460546054606,6.886888688868887
type_lYBMVZ,6.617647058823529,7.124183006535947,6.870915032679739
type_cXHODn,6.9655172413793105,6.774425287356322,6.869971264367816
type_AhjheX,7.0806916426512965,6.637848222862632,6.859269932756964
type_yZblEo,6.904299152608257,6.807509912151131,6.855904532379694
type_wedisU,6.911764705882353,6.78921568627451,6.850490196078432
type_qrSFSq,6.73521111761887,6.95059723479403,6.84290417620645
type_HfKfzV,6.7829021372328455,6.886951631046119,6.834926884139483
type_oAXCMx,6.668483197093551,6.9989403572509845,6.833711777172268
type_rJQdMX,6.720222793487575,6.925521279634391,6.822872036560983
type_YOHpQY,6.974290942360476,6.6200823421774935,6.797186642268985
type_vzSaPI,6.8429752066115705,6.74931129476584,6.796143250688705
type_GNLkvm,6.76657060518732,6.817963496637849,6.792267050912583
type_Hzhxlm,6.733333333333333,6.839115133232781,6.786224233283057
type_uipXwT,6.713570534596817,6.854997318076166,6.784283926336492
type_HfjYoW,6.8317582109104515,6.725616792988366,6.778687501949409
type_AWbXKM,6.794969512195122,6.760035569105691,6.777502540650407
type_BByMdf,6.402787219578518,7.141117153863585,6.771952186721051
type_FwqxZf,6.920557491289198,6.60307781649245,6.761817653890825
