city,similar_city_1,similar_city_2,similar_city_3,similar_city_4,similar_city_5
F047,K115,Y232,O198,P949,V449
P949,K115,Y232,F047,O198,N806
K115,Y232,F047,P949,O198,N806
F379,S542,R892,Y633,B170,V932
Y232,K115,F047,P949,O198,Y633
B170,V932,V449,N806,S959,R892
Y633,F047,Y232,K115,O198,V449
N806,V449,O198,B170,F047,K115
O198,V449,N806,F047,K115,Y232
S959,V932,R892,S542,B170,V449
R892,S542,S959,V932,B170,F379
V932,B170,S959,R892,S542,V449
S542,R892,S959,V932,B170,F379
V449,N806,O198,B170,F047,K115
D022,D090,K445,P949,Y232,K115
K445,D022,D090,P949,Y633,Y232
D090,D022,K445,P949,Y232,K115
A802,S542,R892,S959,F379,V932
P050,L599,Y964,U553,F301,A861
Y964,H166,J719,K535,A861,E180
F861,I057,I529,N821,Y528,E333
M120,N430,Y031,D346,Z789,P772
P741,X066,E416,I652,A655,X990
L122,G905,K571,Y031,M120,Y350
J309,A861,G887,D672,F301,Q715
Z490,D490,L518,R858,V365,J351
R858,O238,Z490,V726,L518,U289
O824,M935,G380,M857,A717,I426
O238,R858,H442,V726,P713,T526
M935,O824,V726,G380,T766,P772
D135,Z885,I652,X910,A655,S503
H166,I606,N386,Y964,Y528,J719
F301,A861,A155,L599,L088,Y964
X910,D135,I652,O482,D022,T766
O445,T182,K227,L504,B826,L726
Y253,P772,D346,G282,N430,P713
K227,D090,D022,K445,P949,K115
U989,E478,X990,G496,H166,S500
L867,D575,Z824,Z196,T061,E478
D575,L867,X990,S500,T061,G496
U553,Y964,D672,P050,E180,L599
E333,E551,I730,N821,F861,I529
N430,M120,Y031,N806,S959,V449
R716,U038,I730,S732,E333,I529
F410,D762,X232,M247,P193,N737
E180,Y964,E478,U553,P050,H166
I227,Y495,S295,S655,J719,V436
O910,S759,P193,O576,U827,B623
X990,S500,G496,U989,I529,T061
A655,U989,K909,B470,X232,D135
Q715,L504,J309,G887,P258,F301
Y031,M120,N430,L122,Z490,S503
I606,N386,V838,H166,I529,Y528
P258,A561,L599,I784,Z087,P050
G905,L122,K571,M108,Y031,E027
K535,J719,Y964,H166,A861,Y495
Y350,P939,A050,M935,O824,G380
V436,I227,U038,S732,R716,I730
L504,T182,Q715,J309,P248,D672
J719,K535,A861,Y964,H166,Y495
V852,Z885,K816,J309,Y964,K535
J884,P357,J309,M060,S213,J719
D346,Y034,Z789,G282,M120,G575
P772,N377,A717,M857,D346,R251
L518,Z490,J351,R858,V365,S764
S528,T815,S546,N164,B455,E072
A861,J719,L599,K535,F301,Y964
O482,S213,M060,U553,K816,X910
N214,Y531,G887,L088,A155,P357
T182,L504,O445,P248,L726,Q715
C906,T526,M907,I282,G575,F659
S213,O482,M060,U553,J884,Y964
P773,Z824,E180,U038,U192,Z196
X916,E027,D906,K132,R885,P543
I652,D135,X910,A655,D575,X232
P357,J884,Y495,J719,D821,A861
K816,Y528,Y964,H166,N386,L599
G887,L088,I784,J309,A861,A155
L726,P248,T182,B826,L518,L504
P939,B574,U692,Y350,A050,P543
Z087,P258,I227,A561,K845,V436
E478,G496,U989,E180,T061,K816
A561,P258,K132,I784,L599,Z087
L847,E551,Z196,E333,N821,I730
W823,I345,P193,D051,B474,F958
P248,L726,T182,L504,O445,Q715
I529,I057,N821,F861,Y528,G496
G496,T061,I529,X990,N821,U038
V838,I606,I057,N386,I529,Y528
I057,F861,I529,Y528,N821,V838
Z824,Z196,P773,L867,G496,X990
U947,F554,X673,M247,P543,Y350
Z885,V852,D135,K816,D821,N386
M066,E727,G904,L015,R988,C144
V339,L802,H879,A050,X536,G282
N386,Y528,I606,H166,V838,I057
H879,V339,K227,B729,T182,O445
Z182,U692,V079,I282,P939,C815
T526,C906,C815,G380,I282,V726
U289,E027,R858,J351,O238,L726
M857,A717,I426,J232,O824,S750
K571,J351,U125,M108,L122,R858
H187,F469,R141,T182,T818,L504
Y528,N386,I057,I529,I606,F861
S503,N476,Z789,Y359,P772,M120
V726,M935,T526,N377,O238,R858
V365,Z490,C354,B873,D490,R141
G129,S295,Y495,D672,F301,K535
Q095,F861,A155,I529,I784,Z196
U038,N821,R716,I529,I730,G496
Y255,K816,E478,P050,P258,Z087
L599,P050,A861,I784,Y964,F301
Z196,N821,T061,I529,G496,U038
A155,L088,F301,Q095,I784,G887
T061,N821,G496,I529,I057,Z196
E551,E333,N821,I730,F861,I057
N821,I529,T061,U038,I057,E333
A050,P939,Y350,D346,G380,V339
H610,E551,L847,O525,E333,O641
D672,U553,F301,A861,S295,Y495
B826,D490,Z490,L726,O445,P713
L088,G887,I784,A155,F301,A861
R141,M108,U125,H187,P353,V365
E727,M066,B674,G904,G378,F554
P713,V829,H442,O238,B873,D881
J351,U125,K571,M108,L518,S764
V079,Z182,M907,U692,C144,I705
N377,P772,R251,V726,A717,M857
N164,S528,A845,B623,B455,D051
H442,O238,V829,P713,R858,E057
D762,M247,F410,L867,X910,I652
D906,I705,T739,P543,X916,R494
P193,D051,O576,U827,A195,S297
T815,S528,S546,Q163,B455,E072
R885,B383,I219,K294,I705,D906
X536,G282,L977,C354,V365,R141
E498,E727,J037,M066,O344,L015
Z789,D346,S503,M120,P772,Y034
I282,C906,R988,C815,T526,C144
U125,M108,J351,K571,R141,E027
U692,Z182,P939,B574,R988,V079
Q163,T815,D906,T739,B455,S528
D475,L161,O621,X066,E956,N476
