job_title,similar_job_1,similar_job_2,similar_job_3,similar_job_4,similar_job_5
bfbc45b05c5a4425210cd2cb3d84ae09GC,c9a30a5443d04270fb0f49d437c3376bAy,0cf5da7bb05dfb15718653637b8df718vT,09b8073e6d0a727247e9bbcf43f8e75avx,6be068c4e74275ca8ed9975805e2f763Em,9e7afc7cdb61931eb7d2cc8398b80ecfSQ
c9a30a5443d04270fb0f49d437c3376bAy,09b8073e6d0a727247e9bbcf43f8e75avx,bfbc45b05c5a4425210cd2cb3d84ae09GC,0cf5da7bb05dfb15718653637b8df718vT,4f7f001bdbae6c195a6d7ba55b98dca1pf,39a3d2b8857c48c2443faeacf50ae574Xo
6be068c4e74275ca8ed9975805e2f763Em,bfbc45b05c5a4425210cd2cb3d84ae09GC,769db4ea593ce8f93a093a84ad1baec2OY,71f952e353628d7e2f40d40038b09ac2Tn,77f94afcb944fea2069092a4c92bab1fzk,6951495c1941499b294fcec5f33cd242wQ
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,e5ebf2752a03d6729cb633770e4eddd7Hd,0cf5da7bb05dfb15718653637b8df718vT,bfbc45b05c5a4425210cd2cb3d84ae09GC,c9a30a5443d04270fb0f49d437c3376bAy,534952ab1cf024773caddc874099da11qn
2006631955b0aa1d8a3bc1edc55e0754sn,534952ab1cf024773caddc874099da11qn,4f7f001bdbae6c195a6d7ba55b98dca1pf,09b8073e6d0a727247e9bbcf43f8e75avx,39a3d2b8857c48c2443faeacf50ae574Xo,c9a30a5443d04270fb0f49d437c3376bAy
71f952e353628d7e2f40d40038b09ac2Tn,769db4ea593ce8f93a093a84ad1baec2OY,1941210d4e0ded26c0b5874fbb577e2dUi,77f94afcb944fea2069092a4c92bab1fzk,6951495c1941499b294fcec5f33cd242wQ,6be068c4e74275ca8ed9975805e2f763Em
e5ebf2752a03d6729cb633770e4eddd7Hd,9e7afc7cdb61931eb7d2cc8398b80ecfSQ,0cf5da7bb05dfb15718653637b8df718vT,c7f9349f001ec07fe76d0becea13a18azM,534952ab1cf024773caddc874099da11qn,63c630beb7b2f471af699f711207d28aVY
39a3d2b8857c48c2443faeacf50ae574Xo,09b8073e6d0a727247e9bbcf43f8e75avx,4f7f001bdbae6c195a6d7ba55b98dca1pf,c9a30a5443d04270fb0f49d437c3376bAy,2006631955b0aa1d8a3bc1edc55e0754sn,0cf5da7bb05dfb15718653637b8df718vT
534952ab1cf024773caddc874099da11qn,2006631955b0aa1d8a3bc1edc55e0754sn,cf8025d88a7ef18800686dbd36ecfae1dF,c9a30a5443d04270fb0f49d437c3376bAy,09b8073e6d0a727247e9bbcf43f8e75avx,0cf5da7bb05dfb15718653637b8df718vT
09b8073e6d0a727247e9bbcf43f8e75avx,c9a30a5443d04270fb0f49d437c3376bAy,4f7f001bdbae6c195a6d7ba55b98dca1pf,39a3d2b8857c48c2443faeacf50ae574Xo,bfbc45b05c5a4425210cd2cb3d84ae09GC,2006631955b0aa1d8a3bc1edc55e0754sn
