job_title,city,count,percent
6be068c4e74275ca8ed9975805e2f763Em,S959,333,16.36
71f952e353628d7e2f40d40038b09ac2Tn,B170,319,17.27
71f952e353628d7e2f40d40038b09ac2Tn,V449,316,17.11
6be068c4e74275ca8ed9975805e2f763Em,B170,311,15.28
77f94afcb944fea2069092a4c92bab1fzk,Y232,284,26.64
71f952e353628d7e2f40d40038b09ac2Tn,K115,277,15
357b6e22304e1fba993bb725e5c00276aY,P949,230,19.59
71f952e353628d7e2f40d40038b09ac2Tn,Y232,219,11.86
e5ebf2752a03d6729cb633770e4eddd7Hd,Y633,219,12.7
63c630beb7b2f471af699f711207d28aVY,K115,215,19.85
e5ebf2752a03d6729cb633770e4eddd7Hd,Y232,210,12.18
c9a30a5443d04270fb0f49d437c3376bAy,K115,207,7.86
e5ebf2752a03d6729cb633770e4eddd7Hd,F047,201,11.66
6be068c4e74275ca8ed9975805e2f763Em,F379,198,9.73
b33302c688b04656f05d2a96c98e14c8cK,O198,196,23.39
2006631955b0aa1d8a3bc1edc55e0754sn,S542,194,10.35
bfbc45b05c5a4425210cd2cb3d84ae09GC,S542,193,5.75
c9a30a5443d04270fb0f49d437c3376bAy,N806,192,7.29
bfbc45b05c5a4425210cd2cb3d84ae09GC,N806,191,5.69
769db4ea593ce8f93a093a84ad1baec2OY,S959,189,17.57
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,K115,184,9.04
39a3d2b8857c48c2443faeacf50ae574Xo,K115,180,11.45
71f952e353628d7e2f40d40038b09ac2Tn,Y633,180,9.75
bfbc45b05c5a4425210cd2cb3d84ae09GC,R892,180,5.36
bfbc45b05c5a4425210cd2cb3d84ae09GC,V449,179,5.33
bfbc45b05c5a4425210cd2cb3d84ae09GC,V932,179,5.33
77f94afcb944fea2069092a4c92bab1fzk,B170,177,16.6
bfbc45b05c5a4425210cd2cb3d84ae09GC,Y232,172,5.12
e5ebf2752a03d6729cb633770e4eddd7Hd,S542,171,9.92
769db4ea593ce8f93a093a84ad1baec2OY,P949,170,15.8
2006631955b0aa1d8a3bc1edc55e0754sn,Y633,169,9.02
357b6e22304e1fba993bb725e5c00276aY,Y232,169,14.4
