region_id,region_label,cluster_id,cluster_label,city_tier,job_count,salary_mean,salary_median,education_level,experience_demand,skill_concentration,finance_maturity,scale_intensity
A050,#1,2,均衡发展型,三线,298,73.22,66.6,0.7836,0.6385,0.1968,0.55,0.413
A149,#2,2,均衡发展型,其他,287,101.65,75.0,0.7552,0.6257,0.2062,0.4,0.4081
A155,#3,2,均衡发展型,三线,297,79.82,78.0,0.8022,0.6595,0.27,0.55,0.4126
A181,#4,2,均衡发展型,其他,271,103.42,98.25,0.7827,0.6964,0.2549,0.4,0.4006
A195,#5,2,均衡发展型,其他,275,81.36,66.0,0.7786,0.6655,0.243,0.4,0.4025
A295,#6,2,均衡发展型,其他,290,66.86,66.0,0.7629,0.6325,0.3437,0.4,0.4094
A497,#7,2,均衡发展型,其他,290,65.07,60.0,0.7767,0.6281,0.2237,0.4,0.4094
A561,#8,2,均衡发展型,二线,298,80.1,72.0,0.8024,0.6539,0.3045,0.75,0.413
A570,#9,2,均衡发展型,其他,216,81.68,75.75,0.7651,0.6257,0.22,0.4,0.3708
A655,#10,2,均衡发展型,三线,298,79.08,72.0,0.7748,0.6515,0.4606,0.55,0.413
A685,#11,2,均衡发展型,其他,292,71.28,66.0,0.7479,0.6223,0.1924,0.4,0.4103
A717,#12,2,均衡发展型,三线,297,69.94,66.0,0.7567,0.6402,0.2598,0.55,0.4126
A802,#13,2,均衡发展型,一线,530,76.34,78.0,0.7644,0.6507,0.2199,1.0,0.4887
A845,#14,2,均衡发展型,三线,296,65.86,60.0,0.7808,0.6298,0.1962,0.55,0.4121
A861,#15,2,均衡发展型,三线,297,77.23,66.0,0.7938,0.6604,0.2967,0.55,0.4126
B055,#16,2,均衡发展型,其他,293,70.23,62.0,0.7931,0.6446,0.2984,0.4,0.4108
B170,#17,0,高端人才型,一线,23780,143.45,129.64,0.8706,0.7088,0.6735,1.0,0.9895
B249,#18,2,均衡发展型,其他,28,88.92,75.75,0.7946,0.6735,0.0571,0.4,0.1057
B369,#19,2,均衡发展型,其他,289,74.61,71.2,0.7604,0.6238,0.2395,0.4,0.409
B383,#20,2,均衡发展型,其他,294,76.13,66.75,0.7759,0.6497,0.2091,0.4,0.4112
B455,#21,2,均衡发展型,其他,296,63.6,56.0,0.7783,0.6332,0.1556,0.4,0.4121
B470,#22,2,均衡发展型,其他,295,87.09,78.0,0.7703,0.6688,0.4164,0.4,0.4117
B474,#23,2,均衡发展型,三线,296,69.83,69.0,0.7699,0.6583,0.2798,0.55,0.4121
B574,#24,2,均衡发展型,其他,295,73.78,66.0,0.7746,0.6416,0.2874,0.4,0.4117
B608,#25,2,均衡发展型,其他,292,77.05,67.5,0.7569,0.66,0.2508,0.4,0.4103
B623,#26,2,均衡发展型,其他,293,81.22,75.0,0.773,0.6338,0.2408,0.4,0.4108
B674,#27,2,均衡发展型,三线,296,79.85,70.0,0.7568,0.6453,0.1946,0.55,0.4121
B729,#28,2,均衡发展型,其他,296,72.34,70.24,0.7521,0.6578,0.2658,0.4,0.4121
B733,#29,2,均衡发展型,其他,289,85.4,72.25,0.795,0.6728,0.3918,0.4,0.409
B736,#30,2,均衡发展型,其他,292,68.42,60.0,0.7517,0.635,0.2016,0.4,0.4103
B748,#31,2,均衡发展型,三线,297,64.18,54.0,0.7795,0.6465,0.2301,0.55,0.4126
B826,#32,2,均衡发展型,三线,297,65.12,60.0,0.7858,0.6508,0.2149,0.55,0.4126
B873,#33,2,均衡发展型,其他,295,66.9,50.0,0.7932,0.645,0.2465,0.4,0.4117
